text,category,label,CutDebt,IDClassifier,IfKnowDebtor,Installment,ConfirmLoan,WillingToPay
你是谁？我干嘛听你的,回问身份,107,0,1,1,0,0,0
你是谁？你为什么有我的电话？,回问身份,107,1,0,0,1,1,1
你是谁啊,回问身份,107,0,0,0,0,0,0
你是谁呀,回问身份,107,0,0,0,0,0,0
你是谁？你从哪里得到我的电话的？,回问身份,107,1,0,0,1,1,1
你是推销保险的吧,回问身份,107,1,0,0,1,1,1
你是诈骗的吧,回问身份,107,1,0,0,1,1,1
你是做什么的,回问身份,107,1,0,0,1,1,1
你谁啊,回问身份,107,0,0,0,0,0,0
你在为谁工作,回问身份,107,1,0,0,1,1,1
你谁啊！我不跟第三方联系,回问身份,107,0,0,0,0,0,0
你是谁？,回问身份,107,0,0,0,0,0,0
你在哪里打的电话,回问身份,107,1,0,0,1,1,1
你谁啊？,回问身份,107,0,0,0,0,0,0
你是谁，在说什么,回问身份,107,0,0,0,0,0,0
你哪位啊,回问身份,107,0,0,0,0,0,0
你是哪位啊？,回问身份,107,0,0,0,0,0,0
你干嘛总打我电话,回问身份,107,1,0,0,1,1,1
你干啥,回问身份,107,1,0,0,1,1,1
你们干嘛,回问身份,107,1,0,0,1,1,1
你们干嘛的,回问身份,107,1,0,0,1,1,1
你们谁呀,回问身份,107,0,0,0,0,0,0
你哪来的这个电话？,回问身份,107,1,0,0,1,1,1
你哪里的,回问身份,107,0,0,0,0,0,0
你哪里的啊？打我电话干嘛啊,回问身份,107,1,0,0,1,1,1
你哪位,回问身份,107,0,0,0,0,0,0
你怎么打我电话啊,回问身份,107,1,0,0,1,1,1
你是？,回问身份,107,0,0,0,0,0,0
你是干嘛的,回问身份,107,1,0,0,1,1,1
你是干什么的,回问身份,107,1,0,0,1,1,1
你是哪的,回问身份,107,0,0,0,0,0,0
你是哪个,回问身份,107,0,0,0,0,0,0
你是哪个嘛？,回问身份,107,0,0,0,0,0,0
你是哪个喃？,回问身份,107,0,0,0,0,0,0
你是哪里,回问身份,107,0,0,0,0,0,0
你是哪里人,回问身份,107,0,0,0,0,0,0
你是谁,回问身份,107,0,0,0,0,0,0
你怎么知道我电话,回问身份,107,1,0,0,1,1,1
你哪位？,回问身份,107,0,0,0,0,0,0
啥？哪个喃？,回问身份,107,0,0,0,0,0,0
朋友，可不可以先告诉我你谁谁？,回问身份,107,0,0,0,0,0,0
请问贵姓,回问身份,107,1,0,0,1,1,1
莫逗我老，美女，你哪个,回问身份,107,1,0,0,1,1,1
怎么有我号码,回问身份,107,1,0,0,1,1,1
兄弟你谁啊,回问身份,107,0,0,0,0,0,0
我认识你么,回问身份,107,1,0,0,1,1,1
你干嘛的啊,回问身份,107,1,0,0,1,1,1
啥子，哪个？,回问身份,107,1,0,0,1,1,1
是谁雇你打电话的,回问身份,107,1,0,0,1,1,1
你他妈谁啊,回问身份,107,0,0,0,0,0,0
你哪知道我的哦,回问身份,107,1,0,0,1,1,1
呵呵，给我验证一下你是不是骗子,回问身份,107,0,0,0,0,0,0
我怎么知道你不是骗子啦？,回问身份,107,0,0,0,0,0,0
为什么要告诉你啊,回问身份,107,1,0,0,1,1,1
朋友，我都不晓得你是谁？,回问身份,107,1,0,0,1,1,1
为什么要告诉你,回问身份,107,1,0,0,1,1,1
你这个号码打过来怎么是显示骚扰电话,回问身份,107,1,0,0,1,1,1
你他妈谁呀，瞎几把打,回问身份,107,0,0,0,0,0,0
你这是什么电话打过来的,回问身份,107,1,0,0,1,1,1
莫逗我老，帅哥，你哪个,回问身份,107,1,0,0,1,1,1
麻烦先让我确认下你的身份再说,回问身份,107,0,0,0,0,0,0
你是？？,回问身份,107,1,0,0,1,1,1
你怎么知道我的电话？,回问身份,107,1,0,0,1,1,1
对不起，我不认识你,回问身份,107,1,0,0,1,1,1
你干嘛打我电话,回问身份,107,1,0,0,1,1,1
你怎么知道的？,回问身份,107,1,0,0,1,1,1
你到底是谁,回问身份,107,0,0,0,0,0,0
你拉个？豁我,回问身份,107,0,0,0,0,0,0
你拉个？你是变态哇,回问身份,107,0,0,0,0,0,0
你拉个？乞丐哇,回问身份,107,0,0,0,0,0,0
你拉个？请说四川话,回问身份,107,0,0,0,0,0,0
你拉个？我听不懂,回问身份,107,0,0,0,0,0,0
你拉个？我只能听懂四川话,回问身份,107,0,0,0,0,0,0
你拉个？有毛病哇？,回问身份,107,0,0,0,0,0,0
你们是哪里？,回问身份,107,0,0,0,0,0,0
你哪个阿,回问身份,107,0,0,0,0,0,0
你哪个哈,回问身份,107,0,0,0,0,0,0
你哪个哈哈哈,回问身份,107,0,0,0,0,0,0
你哪个啦,回问身份,107,0,0,0,0,0,0
你哪个呢,回问身份,107,0,0,0,0,0,0
你哪个哇,回问身份,107,0,0,0,0,0,0
你哪里,回问身份,107,0,0,0,0,0,0
你拉个？变态哇,回问身份,107,0,0,0,0,0,0
你贵姓,回问身份,107,1,0,0,1,1,1
哪个哟呢,回问身份,107,0,0,0,0,0,0
哪个呀？者,回问身份,107,0,0,0,0,0,0
在打牌，你是哪个,回问身份,107,0,0,0,0,0,0
你是从哪里打的电话,回问身份,107,1,0,0,1,1,1
俺不认识你,回问身份,107,1,0,0,1,1,1
不晓得你是哪个,回问身份,107,0,0,0,0,0,0
瓜西西的，你是哪个,回问身份,107,0,0,0,0,0,0
名字呢,回问身份,107,0,0,0,0,0,0
哪个喃？,回问身份,107,0,0,0,0,0,0
哪个呢？,回问身份,107,0,0,0,0,0,0
哪个呀？,回问身份,107,0,0,0,0,0,0
哪个呀？阿,回问身份,107,0,0,0,0,0,0
哪个呀？啦,回问身份,107,0,0,0,0,0,0
俺认识你么？,回问身份,107,1,0,0,1,1,1
你是个瓜娃子哦,回问身份,107,0,0,0,0,0,0
你是哪个？,回问身份,107,0,0,0,0,0,0
你又是谁嗯,回问身份,107,0,0,0,0,0,0
你又是谁哈,回问身份,107,0,0,0,0,0,0
你又是谁哈哈哈,回问身份,107,0,0,0,0,0,0
你又是谁了,回问身份,107,0,0,0,0,0,0
骗人的吧,回问身份,107,1,0,1,1,1,1
请问你是谁,回问身份,107,0,0,0,0,0,0
谁谁谁,回问身份,107,0,0,0,0,0,0
你又是谁唉,回问身份,107,0,0,0,0,0,0
哪个？,回问身份,107,0,0,0,0,0,0
哪个哦？,回问身份,107,0,0,0,0,0,0
哪个傻子啊,回问身份,107,0,0,0,0,0,0
那位,回问身份,107,0,0,0,0,0,0
你打我电话有什么事？,回问身份,107,1,0,0,1,1,1
啊你是谁啊你找哪个,回问身份,107,1,0,0,1,1,1
你干嘛,回问身份,107,1,0,0,1,1,1
你又是谁啊,回问身份,107,0,0,0,0,0,0
你又是谁，没意思,回问身份,107,0,0,0,0,0,0
你是哪个嘛,回问身份,107,0,0,0,0,0,0
你是哪根葱？,回问身份,107,0,0,0,0,0,0
你是哪里啊,回问身份,107,0,0,0,0,0,0
你是推销的吧,回问身份,107,1,0,0,1,1,1
你又是谁阿,回问身份,107,0,0,0,0,0,0
你是专门催债的吗,回问身份,107,1,0,0,1,1,1
你先说你是哪个，没意思,回问身份,107,0,0,0,0,0,0
你先说你是哪个啊,回问身份,107,0,0,0,0,0,0
你先说你是哪个嗯,回问身份,107,0,0,0,0,0,0
你先说你是哪个哈,回问身份,107,0,0,0,0,0,0
你先说你是哪个没意思,回问身份,107,0,0,0,0,0,0
你先说你是哪个哇,回问身份,107,0,0,0,0,0,0
你谁,回问身份,107,0,0,0,0,0,0
莫逗我老，兄弟，你哪个,回问身份,107,1,0,0,1,1,1
我不确认你的身份，你们公司有电话么？我要查一下,回问身份,107,1,0,0,1,1,1
你叫什么名字,回问身份,107,1,0,0,1,1,1
你从哪儿听到这个名字的？,回问身份,107,1,0,0,1,1,1
你是谁啊？哪里来的我电话,回问身份,107,1,0,0,1,1,1
先报上你的姓名,回问身份,107,1,0,0,1,1,1
你哪个,回问身份,107,0,0,0,0,0,0
你日吗是哪个,回问身份,107,0,0,0,0,0,0
你咋个会有我的电话，你是哪个哦？,回问身份,107,1,0,0,1,1,1
我怎么才能知道你不是骗我的,回问身份,107,1,0,0,1,1,1
你是哪里人啊,回问身份,107,0,0,0,0,0,0
你是隔壁章三？,回问身份,107,1,0,0,1,1,1
美女，你杂晓得我电话号码的呢？,回问身份,107,1,0,0,1,1,1
你怎么有我的手机号码？,回问身份,107,1,0,0,1,1,1
你是哪位,回问身份,107,0,0,0,0,0,0
啥子玩意儿哦,回问身份,107,0,0,0,0,0,0
你是哪里的，怎么会有我的电话号码,回问身份,107,1,0,0,1,1,1
你是谁啊？,回问身份,107,0,0,0,0,0,0
你是哪家公司的,回问身份,107,1,0,0,1,1,1
你是坏蛋？,回问身份,107,1,0,0,1,1,1
你真的是催收的,回问身份,107,1,0,0,1,1,1
你怎么证明你身份啊？,回问身份,107,1,0,0,1,1,1
你是骗子吧，电话都显示是诈骗,回问身份,107,0,0,0,0,0,0
我这显示你这个号码是推销号码喃,回问身份,107,1,0,0,1,1,1
你是三儿哇,回问身份,107,1,0,0,1,1,1
我的电话从来都是保密的，你从哪里弄到的，你是哪个？,回问身份,107,1,0,0,1,1,1
不知道你是谁？,回问身份,107,1,0,0,1,1,1
兄弟，你谁啊？,回问身份,107,0,0,0,0,0,0
先把你的身份说出来再问我是谁,回问身份,107,1,0,0,1,1,1
你是咋个认识XXX的,回问身份,107,1,0,0,1,1,1
你从哪儿弄到的电话？,回问身份,107,1,0,0,1,1,1
你是哪个啊？,回问身份,107,0,0,0,0,0,0
你是哪位？,回问身份,107,1,0,0,1,1,1
我为什么要告诉你，你谁呀,回问身份,107,1,0,0,1,1,1
我从没借过钱，你是谁啊,回问身份,107,1,0,0,1,1,1
谁？你说谁？,回问身份,107,1,0,0,1,1,1
你是哪家银行？,回问身份,107,1,0,0,1,1,1
你是哪个公司的？,回问身份,107,1,0,0,1,1,1
你们哪儿来的我的电话？,回问身份,107,1,0,0,1,1,1
who are you,回问身份,107,0,0,0,0,0,0
我还问你是不是谁呢？,回问身份,107,1,0,0,1,1,1
贷款的还是卖保险的,回问身份,107,1,0,0,1,1,1
你纳闷晓得我电话啊？,回问身份,107,1,0,0,1,1,1
你是搞啥的,回问身份,107,1,0,0,1,1,1
你是哪个？你咋个有我的电话？,回问身份,107,1,0,0,1,1,1
你弄啥的,回问身份,107,1,0,0,1,1,1
你的工号是多少，哪个催收公司的？,回问身份,107,1,0,0,1,1,1
你哪个哦,回问身份,107,0,0,0,0,0,0
你谁啊，找我有事吗,回问身份,107,1,0,0,1,1,1
你是谁？你咋个有我的电话？,回问身份,107,1,0,0,1,1,1
你是谁?,回问身份,107,0,0,0,0,0,0
小妹，你叫啥啊？,回问身份,107,1,0,0,1,1,1
你是谁啊？我凭什么相信你啊,回问身份,107,1,0,0,1,1,1
我凭什么相信你哦,回问身份,107,1,0,0,1,1,1
你到底是哪个哦？,回问身份,107,0,0,0,0,0,0
你们又是哪个公司的嘛,回问身份,107,1,0,0,1,1,1
请问你哪位,回问身份,107,0,0,0,0,0,0
你哪个？为什么要告诉你,回问身份,107,1,0,0,1,1,1
你这个是骚扰电话啊？,回问身份,107,1,0,0,1,1,1
莫逗我老，朋友，你哪个,回问身份,107,1,0,0,1,1,1
你又是哪个,回问身份,107,0,0,0,0,0,0
你个哪个，我为什么要告诉你我是哪个？,回问身份,107,1,0,0,1,1,1
自我介绍一哈,回问身份,107,1,0,0,1,1,1
为什么要还你钱？你是谁,回问身份,107,1,0,0,1,0,1
你先告诉我你是谁,回问身份,107,1,0,0,1,1,1
你先说，我在说,回问身份,107,1,0,0,1,1,1
兄弟，你哪位？,回问身份,107,0,0,0,0,0,0
你不是骗子吧,回问身份,107,0,0,0,0,0,0
你号码显示诈骗啦？,回问身份,107,0,0,0,0,0,0
你不会是骗子吧？,回问身份,107,0,0,0,0,0,0
你龟儿是哪个,回问身份,107,1,0,0,1,1,1
朋友，你是哪个？,回问身份,107,0,0,0,0,0,0
我的信息为啥要透露,回问身份,107,1,0,0,1,1,1
你真的是想的出来哦,回问身份,107,0,0,0,0,0,0
刚才电话是不是也是你打的,回问身份,107,1,0,0,1,1,1
你哪个公司的？,回问身份,107,1,0,0,1,1,1
我借了很多家，你是哪家的？,回问身份,107,1,0,0,1,1,1
我现在知道你是谁？,回问身份,107,1,0,0,1,1,1
我不认识你,回问身份,107,1,0,0,1,1,1
莫逗我老，孃，你哪个,回问身份,107,1,0,0,1,1,1
朋友，你是哪个？你为什么打我电话？,回问身份,107,1,0,0,1,1,1
你嚯哪个,回问身份,107,0,0,0,0,0,0
你是哪里的，我要告你骚扰,回问身份,107,0,0,0,0,0,0
你工号？,回问身份,107,1,0,0,1,1,1
莫逗我老，大姐，你哪个,回问身份,107,1,0,0,1,1,1
你说你是谁？,回问身份,107,1,0,0,1,1,1
你是骗子吧，我手机显示你是骚扰电话,回问身份,107,0,0,0,0,0,0
who are you?,回问身份,107,1,0,0,1,1,1
你哪位？哪里凉快去哪里,回问身份,107,0,0,0,0,0,0
你们哪个公司的,回问身份,107,1,0,0,1,1,1
莫逗我老，哥们，你哪个,回问身份,107,1,0,0,1,1,1
你先说看看你是哪个,回问身份,107,1,0,0,1,1,1
