text,category,label,IDClassifier,IfKnowDebtor,ConfirmLoan,WillingToPay,CutDebt,Installment
你是谁？我干嘛听你的,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你是谁？你为什么有我的电话？,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你是谁啊,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你是谁呀,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你是谁？你从哪里得到我的电话的？,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你是推销保险的吧,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你谁啊不认识,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你是诈骗的吧,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你是做什么的,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你谁啊,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你在为谁工作,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你谁啊！我不跟第三方联系,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你是谁？,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你在哪里打的电话,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你谁啊？,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你说你是XX公司就是啊，杂证明啊？,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你是谁，在说什么,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你哪位啊,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你是哪位啊？,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你干嘛总打我电话,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你干啥,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你们干嘛,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你们干嘛的,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你们谁呀,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你哪来的这个电话？,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你哪里的,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你哪里的啊？打我电话干嘛啊,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你哪位,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你怎么打我电话啊,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你是？,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你是干嘛的,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你是干什么的,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你是哪的,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你是哪个,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你是哪个嘛？,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你是哪个喃？,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你是哪里,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你是哪里人,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你是谁,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你怎么知道我电话,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你哪位？,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
啥？哪个喃？,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
朋友，可不可以先告诉我你谁谁？,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
请问贵姓,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
莫逗我老，美女，你哪个,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
怎么有我号码,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
兄弟你谁啊,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
我认识你么,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你干嘛的啊,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
啥子，哪个？,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
我怎么相信你啊,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
是谁雇你打电话的,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你他妈谁啊,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你哪知道我的哦,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你怎么会有我的联系方式，怎么知道我欠钱了呢,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
呵呵，给我验证一下你是不是骗子,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
我认识你吗,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
我怎么知道你不是骗子啦？,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
催收公司是什么，我欠钱的是银行啊,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
为什么要告诉你啊,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
朋友，我都不晓得你是谁？,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
为什么要告诉你,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你这个号码打过来怎么是显示骚扰电话,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你他妈谁呀，瞎几把打,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你这是什么电话打过来的,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
莫逗我老，帅哥，你哪个,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
我为啥要相信你,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
麻烦先让我确认下你的身份再说,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你是？？,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你怎么知道我的电话？,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
对不起，我不认识你,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你干嘛打我电话,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你怎么知道的？,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你到底是谁,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你拉个？豁我,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你拉个？你是变态哇,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你拉个？乞丐哇,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你拉个？请说四川话,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你拉个？我听不懂,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你拉个？我只能听懂四川话,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你拉个？有毛病哇？,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你们是哪里？,回问身份,107,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
