split_text,classifier,new_label
处理好发凭条,CutDebt,109
等会发凭条,CutDebt,109
刚买的号码,CutDebt,109
机主不在,CutDebt,109
没在城里哈,CutDebt,109
我愿意认识就认识，不愿意就不认识,CutDebt,109
这个号码我才换的,CutDebt,109
我现在在外地,CutDebt,109
有问题？不存在了。不好意思，太麻烦你了。,CutDebt,109
啊？,IDClassifier,109
啊啊,IDClassifier,109
唉,IDClassifier,109
别打电话给我,IDClassifier,109
别打给我,IDClassifier,109
别打我电话,IDClassifier,109
别打我电话，烦不烦,IDClassifier,109
别打我电话，烦不烦？,IDClassifier,109
别打我电话，啪！,IDClassifier,109
别烦我,IDClassifier,109
别再打我电话骚扰了,IDClassifier,109
别再找我了,IDClassifier,109
别找我,IDClassifier,109
不关你事,IDClassifier,109
不起,IDClassifier,109
不然我要去报警,IDClassifier,109
不说,IDClassifier,109
不要打过来了,IDClassifier,109
不要打我电话,IDClassifier,109
不要打这个电话了,IDClassifier,109
不要烦我,IDClassifier,109
不要烦我,IDClassifier,109
不要给我打电话了,IDClassifier,109
不要给我打了，不然我要投诉了,IDClassifier,109
不要骚扰我,IDClassifier,109
不要再来电话了,IDClassifier,109
不要再来烦我,IDClassifier,109
不要再来烦我了,IDClassifier,109
不要再来伤害我,IDClassifier,109
不要再骚扰我,IDClassifier,109
不要再骚扰我了，不然我报警了,IDClassifier,109
不要再找我,IDClassifier,109
不要在打我电话了,IDClassifier,109
沉默不说话等你挂电话,IDClassifier,109
吃错药了吧,IDClassifier,109
打打打，我明天就把这张卡注销了，看你们还怎么打,IDClassifier,109
电话费不要钱啊？天天乱打。,IDClassifier,109
都给你说了，别再打了，你听不懂吗？,IDClassifier,109
都说了多少次了,IDClassifier,109
嗯，以后别打电话了，烦不烦。,IDClassifier,109
嗯……,IDClassifier,109
烦不烦,IDClassifier,109
烦不烦啊，请你以后不要打这个电话了，在打我要屏蔽你了,IDClassifier,109
烦人，挂,IDClassifier,109
斐斐张三死,IDClassifier,109
干嘛告诉你,IDClassifier,109
滚,IDClassifier,109
滚，你们再打我就，信不信我让你们吃不了兜着走,IDClassifier,109
号码用了很久了我姓某你去查，然后不接,IDClassifier,109
和你有关系吗,IDClassifier,109
接过好多这样的电话,IDClassifier,109
接听不说话,IDClassifier,109
今天已经接到好几个电话了,IDClassifier,109
开玩笑,IDClassifier,109
可能是我在做梦吧,IDClassifier,109
来了,IDClassifier,109
劳资就是不想说,IDClassifier,109
骂人,IDClassifier,109
没事我挂了,IDClassifier,109
没事找事,IDClassifier,109
那么多XXX，你说的是哪一个,IDClassifier,109
能不能别打我电话,IDClassifier,109
你不要再打电话骚扰我,IDClassifier,109
你都打过来了还问是不是,IDClassifier,109
你管我啊,IDClassifier,109
你还打是吧,IDClassifier,109
你觉得我是，我就是呗,IDClassifier,109
你们打暴我通信录,IDClassifier,109
你们经常打我电话我收到骚扰，我要投诉你们,IDClassifier,109
你们骗子，挂,IDClassifier,109
你们神经病吧,IDClassifier,109
你们是不是有病,IDClassifier,109
