text,category,label,IDClassifier,IfKnowDebtor,ConfirmLoan,WillingToPay,CutDebt,Installment
我们skype上聊吧,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
回去QQ上和你说,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你们公司在哪点，我过来,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
微信聊,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
电话里面说不清，要不你加我 QQ，我们在 QQ 里面聊这个事情，方便些,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你发我一个短信，把计算公式和详情发过来一下,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
联系我助理吧,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你打我另外个电话,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你把所有信息通过微信发给我把,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
打我另一个号码,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你在微信上把详细的发给我,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
我们飞信聊,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
我的微信，加上说。,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你们有办公地点么？我空了过去说,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
我们微信上沟通,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
我们约个时间面谈,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你住哪儿，我下班来找你,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
加微信,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
电话里面说不清，要不你加我 QQ，我们在 QQ 里面聊这个事情,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
qq发给我吧,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
联系我爱人吧，手机号是13682942091,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
给我发短信,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
我加你QQ把,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
打我座机,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
我在开车，你加我微信，等下聊,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
我们QQ聊,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
电话说了我也记不住啊，加个微信吧。,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你有百度帐号吗,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
加我米聊吧,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
加个微信，你给我发过来看看再说,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
我们找个咖啡厅仔细聊一下吧,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
qq聊方便点,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
我现在不方便，就这手机号，加我微信,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
加我钉钉吧,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
别电话里说了，经常接不到。,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你私人号码是好多,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
电话里面说不清，要不你加我微信，我们在微信里面聊,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
我们在微信上仔细聊一下吧,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
微信拍个照片给我吧,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
发我邮箱我看看,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你打我语音,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
找个茶楼我们仔细聊一下,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
微信好聊一点,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你打我座机,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
我们陌陌聊,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你们公司有座机么？,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你有没有微信呢？,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
有微信吗？,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你们在哪里办公,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
电话里面说不清，要不你加我微信,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
我想核对一下信息和金额，你微信给我,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
联系我律师吧,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
微信上细聊,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
我们约个地点面谈吧,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
我们在qq上聊,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你有Skype吗？,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
加我陌陌吧,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你们在成都哪里办公？,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
加我whatsapp吧,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你加我微信聊吧,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
有什么事微信上说，电话不方便。,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
微信说,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Telegram好不好,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
不太方便，要不你加我微信吧,其它通讯方式,105,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
