文本,类别,CutDebt,IDClassifier,IfKnowDebtor,Installment,ConfirmLoan,WillingToPay
为啥通知我？,说出目的,,,,,,
干啥啊,说出目的,,,,,,
兄弟你干嘛？,说出目的,,,,,,
先说哈你搞哪样的,说出目的,,,,,,
你哪搞样的,说出目的,,,,,,
你没糗事做了哇,说出目的,,,,,,
咋个,说出目的,,,,,,
有事说事,说出目的,,,,,,
快说嘛，我在开车,说出目的,,,,,,
我认识他你找他又什么事情？,说出目的,,,,,,
快说事，我没时间,说出目的,,,,,,
有什么事？,说出目的,,,,,,
你打电话有什么事,说出目的,,,,,,
干嘛，你想干啥？,说出目的,,,,,,
是找他做什么？,说出目的,,,,,,
你找这个人做什么？,说出目的,,,,,,
啊，然后喃,说出目的,,,,,,
干嘛？,说出目的,,,,,,
想套路我？,说出目的,,,,,,
有屁快放,说出目的,,,,,,
赶啥类,说出目的,,,,,,
噶哈玩意,说出目的,,,,,,
请讲,说出目的,,,,,,
啥情况，哥们,说出目的,,,,,,
有什么事快说，手机快没电了,说出目的,,,,,,
打电话咋子,说出目的,,,,,,
你是哪个？你找他干嘛？,说出目的,,,,,,
你是不是吃错药了,说出目的,,,,,,
做哪样,说出目的,,,,,,
我干嘛要告诉你，你要是骗子呢？,说出目的,,,,,,
你先给我说你有啥子事？,说出目的,,,,,,
你给我打电话问我干啥,说出目的,,,,,,
怎么，有事快说，我在开车,说出目的,,,,,,
你打我电话干嘛,说出目的,,,,,,
你说是就是，有什么事快说,说出目的,,,,,,
他去外地了，找他什么事情？,说出目的,,,,,,
有事吗,说出目的,,,,,,
作甚个呀,说出目的,,,,,,
啥情况，朋友,说出目的,,,,,,
有话直说,说出目的,,,,,,
你说吧，什么事,说出目的,,,,,,
你想干什么,说出目的,,,,,,
你要干嘛嘛,说出目的,,,,,,
啊？,说出目的,,,,,,
你谁啊，你管我，到底想干嘛,说出目的,,,,,,
你先给我说你有什么事？,说出目的,,,,,,
想咋子,说出目的,,,,,,
啥情况，兄弟,说出目的,,,,,,
他正好不在，找他么子个事情？,说出目的,,,,,,
他不在，你找他什么事情？,说出目的,,,,,,
啥情况，美女,说出目的,,,,,,
什么情况,说出目的,,,,,,
你到底想啷个,说出目的,,,,,,
为啥子打这个电话呢,说出目的,,,,,,
我就是，你要咋子嘛,说出目的,,,,,,
我不是，你有啥事情？我帮你找他,说出目的,,,,,,
神马，有事吗,说出目的,,,,,,
搞屁哦,说出目的,,,,,,
啥子事情？,说出目的,,,,,,
你找他有什么事情？,说出目的,,,,,,
咋子,说出目的,,,,,,
你打电话干啥,说出目的,,,,,,
你到底要咋子,说出目的,,,,,,
说，啥子事,说出目的,,,,,,
有事请讲,说出目的,,,,,,
怎么了？,说出目的,,,,,,
有事吗？,说出目的,,,,,,
你都不知道我是谁还打电话给我？你到底要做什么？,说出目的,,,,,,
你搞哪样的,说出目的,,,,,,
你要咋子嘛,说出目的,,,,,,
啥意思？,说出目的,,,,,,
找他爪子事情？,说出目的,,,,,,
你搞啥子的,说出目的,,,,,,
你究竟有什么目的,说出目的,,,,,,
手机快没电了，你什么意思快说,说出目的,,,,,,
有啥子事,说出目的,,,,,,
有什么事吗，说,说出目的,,,,,,
在开会，什么事,说出目的,,,,,,
搞么子,说出目的,,,,,,
你要干嘛,说出目的,,,,,,
什么事？,说出目的,,,,,,
你想爪子,说出目的,,,,,,
有什么事,说出目的,,,,,,
你要做爪子,说出目的,,,,,,
你要咋子,说出目的,,,,,,
你找他什么事,说出目的,,,,,,
干煞,说出目的,,,,,,
要抓批？,说出目的,,,,,,
干啥子,说出目的,,,,,,
快说,说出目的,,,,,,
你要干什么,说出目的,,,,,,
我认不认识他管你什么事情？,说出目的,,,,,,
说嘛,说出目的,,,,,,
他欠了你们好多钱嘛,说出目的,,,,,,
啥情况，老弟,说出目的,,,,,,
你做啥的,说出目的,,,,,,
咦，咋个还有人找他也？你找他咋个事情？,说出目的,,,,,,
搞什么呢,说出目的,,,,,,
么子事,说出目的,,,,,,
怎么了,说出目的,,,,,,
找我有什么事情吗,说出目的,,,,,,
干嘛,说出目的,,,,,,
你找他事催款吗？,说出目的,,,,,,
有话快说,说出目的,,,,,,
我听不懂你在说啥子,说出目的,,,,,,
我不是本人，你是哪位？有啥事情我帮你传话,说出目的,,,,,,
你是哪位？打电话有啥子？,说出目的,,,,,,
有什么事情,说出目的,,,,,,
说事,说出目的,,,,,,
你找他干什么,说出目的,,,,,,
打电话干什么,说出目的,,,,,,
你和他是啥子关系,说出目的,,,,,,
有什么事说,说出目的,,,,,,
啥子事,说出目的,,,,,,
你找他有什么事情哇？,说出目的,,,,,,
你打电话到底有什么事,说出目的,,,,,,
干什么？,说出目的,,,,,,
有啥子事嘛,说出目的,,,,,,
你想干啥子哦？,说出目的,,,,,,
干啥,说出目的,,,,,,
你警察啊，调查户口的嗖，你哪颗葱，干嘛？,说出目的,,,,,,
弄啥子？,说出目的,,,,,,
欠你钱了？,说出目的,,,,,,
认识怎么样不认识又怎么样,说出目的,,,,,,
你想干嘛,说出目的,,,,,,
你想干啥,说出目的,,,,,,
你想找谁,说出目的,,,,,,
你要干嘛？,说出目的,,,,,,
你要干啥,说出目的,,,,,,
你要爪子？,说出目的,,,,,,
你要做什么,说出目的,,,,,,
你有什么事,说出目的,,,,,,
你有什么事情,说出目的,,,,,,
什么鬼,说出目的,,,,,,
什么鬼？,说出目的,,,,,,
什么事,说出目的,,,,,,
有什么事情吗？,说出目的,,,,,,
啥事？,说出目的,,,,,,
你还要我怎样,说出目的,,,,,,
有屁快放！,说出目的,,,,,,
你想表达什么？,说出目的,,,,,,
什么是，跟我说,说出目的,,,,,,
什么事说,说出目的,,,,,,
什么事情啊,说出目的,,,,,,
什么事情,说出目的,,,,,,
什么事啊,说出目的,,,,,,
有什么事直说,说出目的,,,,,,
你先说你有什么事，我在告诉你。,说出目的,,,,,,
你先说你是干嘛的,说出目的,,,,,,
啥事,说出目的,,,,,,
啥事喃？,说出目的,,,,,,
啥子事情喃？,说出目的,,,,,,
这个和你有关系吗？,说出目的,,,,,,
你干什么的,说出目的,,,,,,
你想咋子,说出目的,,,,,,
你难道只问这个？,说出目的,,,,,,
你说嘛,说出目的,,,,,,
