text,category,label,CutDebt,IDClassifier,IfKnowDebtor,Installment,ConfirmLoan,WillingToPay
马上，我让他接电话,请求等待,111,1,0.0,0.0,1,1,1
稍等两分钟,请求等待,111,0,0.0,0.0,0,0,0
等我一下,请求等待,111,0,0.0,0.0,0,0,0
马上，让我思考一下,请求等待,111,0,0.0,0.0,0,0,0
我马上去叫他,请求等待,111,1,0.0,0.0,1,1,1
等等,请求等待,111,0,0.0,0.0,0,0,0
稍等下，这边信号不好,请求等待,111,0,0.0,0.0,0,0,0
你等一下,请求等待,111,0,0.0,0.0,0,0,0
你等我一下,请求等待,111,0,0.0,0.0,0,0,0
等会,请求等待,111,0,0.0,0.0,0,0,0
等我一哈,请求等待,111,0,0.0,0.0,0,0,0
听不清啊换个地方,请求等待,111,0,0.0,0.0,0,0,0
给我一分钟，我洗个手,请求等待,111,0,0.0,0.0,0,0,0
我把电话给他,请求等待,111,1,0.0,0.0,1,1,1
你等一下，我出去接,请求等待,111,0,0.0,0.0,0,0,0
请等一哈,请求等待,111,0,0.0,0.0,0,0,0
我戴下耳机太吵了,请求等待,111,0,0.0,0.0,0,0,0
等一下,请求等待,111,0,0.0,0.0,0,0,0
我洗个手，你等一下,请求等待,111,0,0.0,0.0,0,0,0
等等，我换个地方,请求等待,111,0,0.0,0.0,0,0,0
等会我这还有个电话,请求等待,111,0,0.0,0.0,0,0,0
等一会我去叫他,请求等待,111,1,0.0,0.0,1,1,1
稍等下,请求等待,111,0,0.0,0.0,0,0,0
你等一下，我叫他来接电话,请求等待,111,0,0.0,0.0,0,0,0
我找个安静的地方,请求等待,111,0,0.0,0.0,0,0,0
等下我另一个电话响了,请求等待,111,0,0.0,0.0,0,0,0
稍等一下，他马上过来,请求等待,111,0,0.0,0.0,0,0,0
马上，我换个地方，这里信号不好,请求等待,111,0,0.0,0.0,0,0,0
等我一分钟,请求等待,111,0,0.0,0.0,0,0,0
hold on,请求等待,111,0,0.0,0.0,0,0,0
啊等下哈,请求等待,111,0,0.0,0.0,0,0,0
稍等一会儿，我马上过来,请求等待,111,0,0.0,0.0,0,0,0
等我，我出去说,请求等待,111,0,0.0,0.0,0,0,0
我出去接,请求等待,111,0,0.0,0.0,0,0,0
等等啦,请求等待,111,0,0.0,0.0,0,0,0
等我一下，您先别挂电话，我去关一下门,请求等待,111,0,0.0,0.0,0,0,0
稍等，我去拿个外卖,请求等待,111,0,0.0,0.0,0,0,0
等我一分钟，我关门,请求等待,111,0,0.0,0.0,0,0,0
我在开车，等我停车,请求等待,111,0,0.0,0.0,0,0,0
手机没网了等下,请求等待,111,0,0.0,0.0,0,0,0
等我一下，您先别挂电话，我去倒杯水,请求等待,111,0,0.0,0.0,0,0,0
稍等，我去拿个快递,请求等待,111,0,0.0,0.0,0,0,0
稍等，我下楼,请求等待,111,0,0.0,0.0,0,0,0
等等，我想想,请求等待,111,0,0.0,0.0,0,0,0
听不清我去换个位置,请求等待,111,0,0.0,0.0,0,0,0
等我一下，您先别挂电话，我去泡杯咖啡,请求等待,111,0,0.0,0.0,0,0,0
等下，我关下门,请求等待,111,0,0.0,0.0,0,0,0
等一下，我听不清,请求等待,111,0,0.0,0.0,0,0,0
我马上回来，稍等,请求等待,111,0,0.0,0.0,0,0,0
等等我需要拿下东西,请求等待,111,0,0.0,0.0,0,0,0
马上，我给同事说一声,请求等待,111,0,0.0,0.0,0,0,0
你等会儿，我把车停路边来说,请求等待,111,0,0.0,0.0,0,0,0
