text,category,label,CutDebt,IDClassifier,IfKnowDebtor,Installment,ConfirmLoan,WillingToPay
我已经全部还了啊，怎么还有？,已经还清,112,1,1,1,1,0,0
我这边app上显示已经全部还清了啊，余额为0,已经还清,112,1,1,1,1,0,0
还了,已经还清,112,1,1,1,1,0,0
我每次都是按时还款的。,已经还清,112,1,1,1,1,0,0
我已经还了。,已经还清,112,1,1,1,1,0,0
已经处理,已经还清,112,1,1,1,1,0,0
转好了,已经还清,112,1,1,1,1,0,0
不是已经还了吗,已经还清,112,1,1,1,1,0,0
没有欠过帐，那点钱早就还过了,已经还清,112,1,1,1,1,0,0
明明2个月前我就已经还清了,已经还清,112,1,1,1,1,0,0
欠的钱，早就换了，咋个还有欠款哦,已经还清,112,1,1,1,1,0,0
请仔细核对一下，我早就还清了这笔借款,已经还清,112,1,1,1,1,0,0
我不是还了吗，怎么又来问,已经还清,112,1,1,1,1,0,0
我都还了，你们不要再打了,已经还清,112,1,1,1,1,0,0
我还欠钱吗？,已经还清,112,1,1,1,1,0,0
我还欠钱吗？我以为我还了啊,已经还清,112,1,1,1,1,0,0
我借过钱。但是已经还了,已经还清,112,1,1,1,1,0,0
我上周就已经还了啊，难道你们没收到啊，你们再去查一下系统记录呢？,已经还清,112,1,1,1,1,0,0
我早就还清了，好不好,已经还清,112,1,1,1,1,0,0
我早就还完了啊，你们搞错了,已经还清,112,1,1,1,1,0,0
我早就还完了啊，怎么还打电话,已经还清,112,1,1,1,1,0,0
已经还了，提示正在交易中,已经还清,112,1,1,1,1,0,0
怎么会没还呢？我之前明明还了，你们系统有问题吧，你们自己去查清楚！,已经还清,112,1,1,1,1,0,0
还过了,已经还清,112,1,1,1,1,0,0
钱转了还没有到账,已经还清,112,1,1,1,1,0,0
我还完了你为什么还打我电话,已经还清,112,1,1,1,1,0,0
我已经还掉了,已经还清,112,1,1,1,1,0,0
我早就还完了,已经还清,112,1,1,1,1,0,0
不是都还了吗,已经还清,112,1,1,1,1,0,0
还了,已经还清,112,1,1,1,1,0,0
还清了,已经还清,112,1,1,1,1,0,0
他说还掉了,已经还清,112,1,1,1,1,0,0
我不是还了吗,已经还清,112,1,1,1,1,0,0
我还过呀，钱怎么变多了,已经还清,112,1,1,1,1,0,0
我每次都是按时还款的。,已经还清,112,1,1,1,1,0,0
我现在把还款凭证发给你,已经还清,112,1,1,1,1,0,0
我已经还了。,已经还清,112,1,1,1,1,0,0
我已经还了啊,已经还清,112,1,1,1,1,0,0
我已经还了啊，怎么还打电话,已经还清,112,1,1,1,1,0,0
我以前还了,已经还清,112,1,1,1,1,0,0
我早就还了,已经还清,112,1,1,1,1,0,0
已经处理,已经还清,112,1,1,1,1,0,0
已经还了,已经还清,112,1,1,1,1,0,0
已经还了，提示正在交易中,已经还清,112,1,1,1,1,0,0
早还了,已经还清,112,1,1,1,1,0,0
之前一直有还款为什么要一次结清,已经还清,112,1,1,1,1,0,0
转给你了,已经还清,112,1,1,1,1,0,0
转好了,已经还清,112,1,1,1,1,0,0
我已经还了,已经还清,112,1,1,1,1,0,0
我以前还的怎么算,已经还清,112,1,1,1,1,0,0
我是按账单上面还的啊？,已经还清,112,1,1,1,1,0,0
我都还了啊，怎么还有？,已经还清,112,1,1,1,1,0,0
我已经还了啊,已经还清,112,1,1,1,1,0,0
我都还那么多了你们都没记录，是不是一个公司的,已经还清,112,1,1,1,1,0,0
你们是不是弄错了，我是按照上面还的啊,已经还清,112,1,1,1,1,0,0
为什么和APP上的不一样,已经还清,112,1,1,1,1,0,0
我已经还了那么多了，怎么还有这么多呀,已经还清,112,1,1,1,1,0,0
我每期都是按时还钱的,已经还清,112,1,1,1,1,0,0
你这是要讹人啊，我这可是有转账记录的,已经还清,112,1,1,1,1,0,0
还了很多了，为什么还有这么多,已经还清,112,1,1,1,1,0,0
我每期都是按时还钱的呀。,已经还清,112,1,1,1,1,0,0
我今天不是按时还了吗，怎么还打电话来,已经还清,112,1,1,1,1,0,0
你个傻逼，把帐对好再来给我说,已经还清,112,1,1,1,1,0,0
我不是都还完了吗,已经还清,112,1,1,1,1,0,0
什么情况那我还的钱去哪了,已经还清,112,1,1,1,1,0,0
我不是今早已经全部都还了吗？怎么还有,已经还清,112,1,1,1,1,0,0
APP不是显示已经还款了吗,已经还清,112,1,1,1,1,0,0
我还了钱了，为什么还要还？,已经还清,112,1,1,1,1,0,0
你们搞错了，我已经不欠钱了,已经还清,112,1,1,1,1,0,0
都还完了还来搞事情小心我报警,已经还清,112,1,1,1,1,0,0
网上显示还清的啊,已经还清,112,1,1,1,1,0,0
你们咋回事，我不是已经结清了吗,已经还清,112,1,1,1,1,0,0
这期的金额我都还了,已经还清,112,1,1,1,1,0,0
我还了的哦，你们再去看看啦,已经还清,112,1,1,1,1,0,0
你们内部是不是没沟通好，你再查一下呢，我已经还了,已经还清,112,1,1,1,1,0,0
我都还了啊,已经还清,112,1,1,1,1,0,0
摆脱我有结清凭证别瞎跟我扯皮,已经还清,112,1,1,1,1,0,0
我按时按量还了的哈,已经还清,112,1,1,1,1,0,0
我还了部分钱，还有一些不是下个月才还吗,已经还清,112,1,1,1,1,0,0
我还了钱了，我都给你说了,已经还清,112,1,1,1,1,0,0
别骗我，我已经还完了,已经还清,112,1,1,1,1,0,0
现在已经不欠钱了哈,已经还清,112,1,1,1,1,0,0
我还了的，你们自己再去看看,已经还清,112,1,1,1,1,0,0
我还了一些，还剩一些没还,已经还清,112,1,1,1,1,0,0
app上说就这么多,已经还清,112,1,1,1,1,0,0
我早上给你们打过去了的,已经还清,112,1,1,1,1,0,0
还款不是已经结清了吗，你们咋回事，还在打电话给我,已经还清,112,1,1,1,1,0,0
app上的应还金额我都还了,已经还清,112,1,1,1,1,0,0
我昨天还了的，你们再查查,已经还清,112,1,1,1,1,0,0
你打错了吧，我已经还了还了的,已经还清,112,1,1,1,1,0,0
你们应该自己先去查查清楚，我反正都还了,已经还清,112,1,1,1,1,0,0
你们来回多少电话了别再来骚扰我了都还清了,已经还清,112,1,1,1,1,0,0
怎么可能？我按时还了的,已经还清,112,1,1,1,1,0,0
你他妈的有病啊，去查查看老子到底还没还,已经还清,112,1,1,1,1,0,0
我已经还清了，我没有分期,已经还清,112,1,1,1,1,0,0
我还了大部分，应该只剩一点了,已经还清,112,1,1,1,1,0,0
我还款了的,已经还清,112,1,1,1,1,0,0
我明明都还完了，还在打电话催我干嘛,已经还清,112,1,1,1,1,0,0
我都是按时还钱的啊,已经还清,112,1,1,1,1,0,0
打错电话了，我已经还完了,已经还清,112,1,1,1,1,0,0
你们搞不清楚难道我还白还了,已经还清,112,1,1,1,1,0,0
APP上金额显示已经还清了啊,已经还清,112,1,1,1,1,0,0
钱，我已经还了，电话，你是别再打了,已经还清,112,1,1,1,1,0,0
我都还了,已经还清,112,1,1,1,1,0,0
我怎么逾期了，我还了的呀,已经还清,112,1,1,1,1,0,0
我明明把钱还了呀，你们是不是记错了,已经还清,112,1,1,1,1,0,0
你和你们公司沟通下，看看是不是哪有问题啊，钱我都还完了,已经还清,112,1,1,1,1,0,0
我现在不欠钱了,已经还清,112,1,1,1,1,0,0
怎么没还上，上次才还了，都没记录,已经还清,112,1,1,1,1,0,0
我已经还清了,已经还清,112,1,1,1,1,0,0
我还了啊,已经还清,112,1,1,1,1,0,0
"哈哈。行嘛，继续,我已经还了那么多了，怎么还有这么多呀？",已经还清,112,1,1,1,1,0,0
啥？我不是还清了么？昨天就处理了。,已经还清,112,1,1,1,1,0,0
我昨天已经还了呀,已经还清,112,1,1,1,1,0,0
这个数目不对哦，我已经还了一部分了。,已经还清,112,1,1,1,1,0,0
"今天天气好晴朗，处处好风光。方案给我发到微信嘛,我不是今早已经全部都还了吗？怎么还有？",已经还清,112,1,1,1,1,0,0
我还了很多了,已经还清,112,1,1,1,1,0,0
"是不是那个在敲代码的？, 唉, 我已经还了那么多了，怎么还有这么多呀？",已经还清,112,1,1,1,1,0,0
我每个月都按时还那么多，我的记录肯定没得错,已经还清,112,1,1,1,1,0,0
我明明已经还完了,已经还清,112,1,1,1,1,0,0
我已经还了啊,已经还清,112,1,1,1,1,0,0
不是已经还了吗，你们没收到吗,已经还清,112,1,1,1,1,0,0
我不是已经还了吗,已经还清,112,1,1,1,1,0,0
我每期都按时还的，怎么还有啦,已经还清,112,1,1,1,1,0,0
不得哦，我都找人处理了大半了，咋还有那么多？,已经还清,112,1,1,1,1,0,0
我前天已经还了呀,已经还清,112,1,1,1,1,0,0
这是我上周的欠款数了，前天我已经还了一部分了，你们再看看。,已经还清,112,1,1,1,1,0,0
"懒得理你。你们看着办,我每期都是按时还钱的呀。",已经还清,112,1,1,1,1,0,0
