split_text,classifier,new_label
还了,Installment,112
还了出示结清证明,Installment,112
我存卡里你们直接扣吧,Installment,112
我每次都是按时还款的。,Installment,112
我已经还了。,Installment,112
已经处理,Installment,112
转好了,Installment,112
不是已经还了吗,ConfirmLoan,112
没有欠过帐，那点钱早就还过了,ConfirmLoan,112
明明2个月前我就已经还清了,ConfirmLoan,112
欠的钱，早就换了，咋个还有欠款哦,ConfirmLoan,112
请仔细核对一下，我早就还清了这笔借款,ConfirmLoan,112
我不是还了吗，怎么又来问,ConfirmLoan,112
我都还了，你们不要再打了,ConfirmLoan,112
我还欠钱吗？,ConfirmLoan,112
我还欠钱吗？我以为我还了啊,ConfirmLoan,112
我借过钱。但是已经还了,ConfirmLoan,112
我上周就已经还了啊，难道你们没收到啊，你们再去查一下系统记录呢？,ConfirmLoan,112
我早就还清了，好不好,ConfirmLoan,112
我早就还完了啊，你们搞错了,ConfirmLoan,112
我早就还完了啊，怎么还打电话,ConfirmLoan,112
已经还了，提示正在交易中,ConfirmLoan,112
怎么会没还呢？我之前明明还了，你们系统有问题吧，你们自己去查清楚！,ConfirmLoan,112
还过了,WillingToPay,112
钱转了还没有到账,WillingToPay,112
我还完了你为什么还打我电话,WillingToPay,112
我已经还掉了,WillingToPay,112
我早就还完了,WillingToPay,112
不是都还了吗,WillingToPay,112
还了,WillingToPay,112
还清了,WillingToPay,112
好了好了,WillingToPay,112
卡里有钱你扣吧,WillingToPay,112
钱在卡里你们扣吧,WillingToPay,112
啥，那么多了？,WillingToPay,112
他说还掉了,WillingToPay,112
我不是还了吗,WillingToPay,112
我还过呀，钱怎么变多了,WillingToPay,112
我每次都是按时还款的。,WillingToPay,112
我现在把还款凭证发给你,WillingToPay,112
我已经还了。,WillingToPay,112
我已经还了啊,WillingToPay,112
我已经还了啊，怎么还打电话,WillingToPay,112
我以前还了,WillingToPay,112
我早就还了,WillingToPay,112
已经处理,WillingToPay,112
已经还了,WillingToPay,112
已经还了，提示正在交易中,WillingToPay,112
早还了,WillingToPay,112
之前一直有还款为什么要一次结清,WillingToPay,112
转给你了,WillingToPay,112
转好了,WillingToPay,112
我已经还了,WillingToPay,112
我以前还的怎么算,WillingToPay,112
