split_text,classifier,new_label
不对啊,Installment,102
多少多少我就还,Installment,102
还了可以继续分期么,Installment,102
还了可以继续分期么,Installment,102
还了之后剩下的呢,Installment,102
还了之后剩下的呢,Installment,102
可以吗,Installment,102
你这个金额怕是有点问题，我还得再确认下,Installment,102
确认金额,Installment,102
剩下的什么时候处理,Installment,102
剩下的什么时候处理,Installment,102
我今天还了，下月怎么办,Installment,102
我数学不好,Installment,102
这部分可以，延期到好久阿,Installment,102
这部分可以，延期到好久阿,Installment,102
这部分可以，延期到好久哈,Installment,102
这部分可以，延期到好久哈,Installment,102
这部分可以，延期到好久了,Installment,102
这部分可以，延期到好久没意思,Installment,102
这部分可以，延期到好久呀,Installment,102
这可以，延期好久,Installment,102
这可以，延期好久阿,Installment,102
这可以，延期好久吧,Installment,102
这可以，延期好久嗯?,Installment,102
这可以，延期好久嗯?,Installment,102
这可以，延期好久哈哈哈,Installment,102
这可以，延期好久乎,Installment,102
这可以，延期好久乎,Installment,102
最多可以延期多长时间,Installment,102
本金多少,WillingToPay,102
不是我贷的,WillingToPay,102
不知道你在说什么,WillingToPay,102
不知道这个事,WillingToPay,102
等我查询过就处理,WillingToPay,102
没贷过,WillingToPay,102
没那么多啊,WillingToPay,102
哪个欠了你的钱嘛？,WillingToPay,102
能给我多久的时间,WillingToPay,102
你打错了不是我借的,WillingToPay,102
你们搞错了吧,WillingToPay,102
钱没有收到,WillingToPay,102
什么情况那么多？,WillingToPay,102
什么时候的事,WillingToPay,102
什么时候借的，,WillingToPay,102
什么时候欠的,WillingToPay,102
我不记得,WillingToPay,102
我不欠你们钱,WillingToPay,102
我不欠钱，你打错了,WillingToPay,102
我还欠多少,WillingToPay,102
我没借过啊,WillingToPay,102
我没有借过这么多钱,WillingToPay,102
我没有欠款,WillingToPay,102
我身份证丢了，我不知道,WillingToPay,102
我什么时候欠你钱了,WillingToPay,102
我要在什么时间之前还清呢,WillingToPay,102
我又没欠你钱,WillingToPay,102
我怎么不记得了,WillingToPay,102
我之前没看清合同，怎么有这么高的利息,WillingToPay,102
先出我就看看账单,WillingToPay,102
现在还欠多少,WillingToPay,102
怎么比当时高那么多,WillingToPay,102
怎么可能,WillingToPay,102
当时没借那么多,WillingToPay,102
还了那么多，还有这么多,WillingToPay,102
为什么有利息这么高,WillingToPay,102
我都还了那么多了，为什么还没那么多,WillingToPay,102
我都还那么多了怎么还有那么多啊,WillingToPay,102
我数学不好,WillingToPay,102
我想知道，分期的话，最长能分几期？,WillingToPay,102
