text,category,label,IDClassifier,IfKnowDebtor,ConfirmLoan,WillingToPay,CutDebt,Installment
你怎么不早说,模糊确认,106,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
等我跟老板商量能预支工资不,模糊确认,106,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
明天朋友就换我钱了,模糊确认,106,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
家里人可以还吧,模糊确认,106,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
早干嘛去了,模糊确认,106,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
嗷,模糊确认,106,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
行，那不要再打过来了,模糊确认,106,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
该你歪,模糊确认,106,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
再等等,模糊确认,106,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
恼火,模糊确认,106,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
我看看有没有其他办法,模糊确认,106,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
我会想办法的,模糊确认,106,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
我尽我最大努力吧,模糊确认,106,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
行，知道,模糊确认,106,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
只能这样了,模糊确认,106,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
嗯嗯呢,模糊确认,106,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
我知道了，我会想办法,模糊确认,106,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
再说,模糊确认,106,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
嗯嗯，再说吧,模糊确认,106,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
到时我去看看,模糊确认,106,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
我想想办法,模糊确认,106,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
我想想,模糊确认,106,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
好的，还有这么多天,模糊确认,106,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
哈哈哈,模糊确认,106,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
要的，我下来了解下,模糊确认,106,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
等我考虑下再说,模糊确认,106,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
等我方便的时候联系你门,模糊确认,106,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
行，我看看,模糊确认,106,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
嗷嗷,模糊确认,106,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
我不确定,模糊确认,106,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
嗯，没事了吧,模糊确认,106,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
后面再说,模糊确认,106,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
好，要得，晓得了,模糊确认,106,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
等我出差回来再说,模糊确认,106,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
嗯，我下来查一下,模糊确认,106,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
