text,category,label,CutDebt,IDClassifier,IfKnowDebtor,Installment,ConfirmLoan,WillingToPay
1000我有的,模糊确认,106,0,1,1,0,1,0
10打工资,模糊确认,106,0,1,1,0,1,0
10号打工资,模糊确认,106,0,1,1,0,1,0
10号发工资,模糊确认,106,0,1,1,0,1,0
10天,模糊确认,106,0,1,1,0,1,0
13号,模糊确认,106,0,1,1,0,1,0
15号,模糊确认,106,0,1,1,0,1,0
15号发工资,模糊确认,106,0,1,1,0,1,0
20号,模糊确认,106,0,1,1,0,1,0
20号发工资,模糊确认,106,0,1,1,0,1,0
22号,模糊确认,106,0,1,1,0,1,0
25号,模糊确认,106,0,1,1,0,1,0
28号才能发工资,模糊确认,106,0,1,1,0,1,0
2天,模糊确认,106,0,1,1,0,1,0
30号,模糊确认,106,0,1,1,0,1,0
3天,模糊确认,106,0,1,1,0,1,0
3天后,模糊确认,106,0,1,1,0,1,0
4天,模糊确认,106,0,1,1,0,1,0
5号发工资,模糊确认,106,0,1,1,0,1,0
5号可能发工资,模糊确认,106,0,1,1,0,1,0
5天,模糊确认,106,0,1,1,0,1,0
6号发工资,模糊确认,106,0,1,1,0,1,0
6天,模糊确认,106,0,1,1,0,1,0
7天,模糊确认,106,0,1,1,0,1,0
7月份工程款下来还,模糊确认,106,0,1,1,0,1,0
8天,模糊确认,106,0,1,1,0,1,0
9天,模糊确认,106,0,1,1,0,1,0
All right. I knew it.,模糊确认,106,0,1,1,0,1,0
amazing,模糊确认,106,0,1,1,0,1,0
isee,模糊确认,106,0,1,1,0,1,0
ojbk,模糊确认,106,0,1,1,0,1,0
ok等下,模糊确认,106,0,1,1,0,1,0
youaregood,模糊确认,106,0,1,1,0,1,0
youaregreat,模糊确认,106,0,1,1,0,1,0
阿拉小得了，听到了吧,模糊确认,106,0,1,1,0,1,0
阿拉小得了，谢啦,模糊确认,106,0,1,1,0,1,0
阿拉小得了，谢谢,模糊确认,106,0,1,1,0,1,0
阿拉小得了，谢谢你,模糊确认,106,0,1,1,0,1,0
啊,模糊确认,106,0,1,1,0,1,0
啊啊，晓得了,模糊确认,106,0,1,1,0,1,0
哎呀哈,模糊确认,106,0,1,1,0,1,0
安逸，安逸！,模糊确认,106,0,1,1,0,1,0
俺过段时间才有,模糊确认,106,0,1,1,0,1,0
俺会还,模糊确认,106,0,1,1,0,1,0
俺要还,模糊确认,106,0,1,1,0,1,0
嗷,模糊确认,106,0,1,1,0,1,0
嗷嗷,模糊确认,106,0,1,1,0,1,0
奥,模糊确认,106,0,1,1,0,1,0
巴适得板。,模糊确认,106,0,1,1,0,1,0
半个月,模糊确认,106,0,1,1,0,1,0
便宜,模糊确认,106,0,1,1,0,1,0
别烦我我知道,模糊确认,106,0,1,1,0,1,0
别人钱我钱，正在要钱,模糊确认,106,0,1,1,0,1,0
别人欠我钱在要,模糊确认,106,0,1,1,0,1,0
不差钱,模糊确认,106,0,1,1,0,1,0
不差这点钱,模糊确认,106,0,1,1,0,1,0
不错,模糊确认,106,0,1,1,0,1,0
不错哟,模糊确认,106,0,1,1,0,1,0
不得赊账,模糊确认,106,0,1,1,0,1,0
不会不还,模糊确认,106,0,1,1,0,1,0
不急,模糊确认,106,0,1,1,0,1,0
不忙了在处理。可好,模糊确认,106,0,1,1,0,1,0
