label,split_text,classifier,new_label,comment,uncertain,name,criterion
0,OK,IDClassifier,0,,,,
0,yes,IDClassifier,0,,,,
0,"Yes,是的",IDClassifier,0,,,,
0,啊,IDClassifier,0,,,,
0,啊，对,IDClassifier,0,,,,
0,啊，对！你是哪位？,IDClassifier,0,,,,
0,啊，是的,IDClassifier,0,,,,
0,啊啊对我是的,IDClassifier,0,,,,
0,啊啊没错是我,IDClassifier,0,,,,
0,啊啊是我,IDClassifier,0,,,,
0,啊啊我是,IDClassifier,0,,,,
0,啊对,IDClassifier,0,,,,
0,啊对的,IDClassifier,0,,,,
0,啊对的是我,IDClassifier,0,,,,
0,啊对对对唉你好,IDClassifier,0,,,,
0,啊嗯你是,IDClassifier,0,,,,
0,啊哈,IDClassifier,0,,,,
0,啊哈你是谁呀找我什么事,IDClassifier,0,,,,
0,啊就是,IDClassifier,0,,,,
0,啊你好,IDClassifier,0,,,,
0,啊你找我要做什么我们似乎不认识,IDClassifier,0,,,,
0,啊是的你好,IDClassifier,0,,,,
0,啊是的是的,IDClassifier,0,,,,
0,啊是是是是是,IDClassifier,0,,,,
0,啊我不认识你你要干什么,IDClassifier,0,,,,
0,啊我是，你找我有什么事吗？请快点说，我这回有点忙,IDClassifier,0,,,,
0,啊找我什么事,IDClassifier,0,,,,
0,哎哎,IDClassifier,0,,,,
0,唉你好,IDClassifier,0,,,,
0,唉是的是的,IDClassifier,0,,,,
0,俺就是,IDClassifier,0,,,,
0,奥,IDClassifier,0,,,,
0,斗是,IDClassifier,0,,,,
0,对,IDClassifier,0,,,,
0,对，你哪位？,IDClassifier,0,,,,
0,对，你是？,IDClassifier,0,,,,
0,对，你是哪位,IDClassifier,0,,,,
0,对，啥子事,IDClassifier,0,,,,
0,对，是我,IDClassifier,0,,,,
0,对，是我，你是哪位,IDClassifier,0,,,,
0,对，是我，找我有什么事吗,IDClassifier,0,,,,
0,对，是我。你是？,IDClassifier,0,,,,
0,对，是我阿,IDClassifier,0,,,,
0,对，是我啊,IDClassifier,0,,,,
0,对，是我哈,IDClassifier,0,,,,
0,对，是我哈哈哈,IDClassifier,0,,,,
0,对，我没钱,IDClassifier,0,,,,
0,对，我是,IDClassifier,0,,,,
0,对，我是。请问你是？,IDClassifier,0,,,,
0,对，我是的,IDClassifier,0,,,,
0,对，怎么了,IDClassifier,0,,,,
0,对.我是,IDClassifier,0,,,,
0,对啊,IDClassifier,0,,,,
0,对啊，你有事？,IDClassifier,0,,,,
0,对啊，什么事？,IDClassifier,0,,,,
0,对啊，是我,IDClassifier,0,,,,
