label,old_label,classifier,split_text
0,0,WillingToPay, 可以的
0,0,WillingToPay,·我明天就处理
0,0,WillingToPay,10分钟内发截图给你
0,0,WillingToPay,10号发工资处理
0,0,WillingToPay,10号还
0,0,WillingToPay,15号处理
0,0,WillingToPay,15号发工资，立马还款，
0,0,WillingToPay,15号发工资处理
0,0,WillingToPay,15号发工资还
0,0,WillingToPay,15号还
0,0,WillingToPay,15号就能还款
0,0,WillingToPay,20号还
0,0,WillingToPay,25号处理
0,0,WillingToPay,25号还
0,0,WillingToPay,2天内可以
0,0,WillingToPay,2小时之后处理
0,0,WillingToPay,2小时之内处理
0,0,WillingToPay,2月28还
0,0,WillingToPay,30号处理
0,0,WillingToPay,30号还
0,0,WillingToPay,3天之内一定处理
0,0,WillingToPay,5号还款
0,0,WillingToPay,6个月还清
0,0,WillingToPay,99天就还
0,0,WillingToPay,ok
0,0,WillingToPay,OK
0,0,WillingToPay,"ok,no problem"
0,0,WillingToPay,OK。马上。
0,0,WillingToPay,OKOK
0,0,WillingToPay,俺待会儿就办
0,0,WillingToPay,俺待会儿就办嘛
0,0,WillingToPay,俺今天办
0,0,WillingToPay,俺马上办
0,0,WillingToPay,俺马上办嘛
0,0,WillingToPay,俺明天办
0,0,WillingToPay,俺晚上办
0,0,WillingToPay,俺下午办
0,0,WillingToPay,俺中午办
0,2,WillingToPay,半年时间全部换不用减免
0,0,WillingToPay,半小时就还
0,0,WillingToPay,保证处理
0,0,WillingToPay,保证还上
0,0,WillingToPay,保证会处理
0,0,WillingToPay,保证没问题
0,0,WillingToPay,必须的
0,0,WillingToPay,必须的，你放心吧
0,0,WillingToPay,必须行
0,0,WillingToPay,别联系我家人，我马上处理
0,0,WillingToPay,不好意思，我现在就去处理
0,0,WillingToPay,不好意思，昨天本来打算去还的，结果有事耽搁了。马上我就去还
0,0,WillingToPay,不好意思现在处理
0,0,WillingToPay,不好意思现在就处理
0,0,WillingToPay,不急不急，马上就处理了哈。
0,0,WillingToPay,不要联系我家里人，我明天就还
0,0,WillingToPay,不要通知村委，我明天一定还
0,0,WillingToPay,不用到那天我就联系你还款
0,0,WillingToPay,吃饭了就还
0,0,WillingToPay,大大后天处理
0,0,WillingToPay,大大后天还
0,0,WillingToPay,大后天处理
0,0,WillingToPay,大后天还
0,0,WillingToPay,待还就去
0,0,WillingToPay,到期就还
0,0,WillingToPay,到时候借也还上
0,0,WillingToPay,到时候我肯定还进去
0,0,WillingToPay,到时候一定处理
0,0,WillingToPay,到时间肯定还
0,0,WillingToPay,到时间我一定还上
0,0,WillingToPay,得，还
0,0,WillingToPay,等哈哈儿就还哈。
0,0,WillingToPay,等会就还
0,0,WillingToPay,等会就让家人帮我还
0,0,WillingToPay,等会我就去解决
0,0,WillingToPay,等晚上我就处理
0,0,WillingToPay,等我忙好处理
0,0,WillingToPay,等我下班处理
0,0,WillingToPay,等我下班后处理
0,0,WillingToPay,等我下班就处理
0,0,WillingToPay,等我下班就去还
0,0,WillingToPay,等我下个月处理。
0,0,WillingToPay,等下处理
0,1,WillingToPay,等下个月处理
0,0,WillingToPay,等下就还
0,0,WillingToPay,等下就去还
0,0,WillingToPay,等下去银行对公处理
0,0,WillingToPay,等下找家里要钱还
0,0,WillingToPay,等休息天我就把钱还了
0,0,WillingToPay,等一下处理
0,0,WillingToPay,等一下就还
0,0,WillingToPay,等月底处理
0,0,WillingToPay,恩我还啊
0,0,WillingToPay,嗯，好的
0,0,WillingToPay,嗯，后天给你
0,0,WillingToPay,嗯，今明两天我抽时间去还了；
0,0,WillingToPay,嗯，明天给你
0,0,WillingToPay,嗯，年底给你
0,0,WillingToPay,嗯，下个月给你
0,0,WillingToPay,嗯，下周给你
0,0,WillingToPay,嗯，月底还
0,0,WillingToPay,嗯，这两天还
0,0,WillingToPay,嗯嗯，等下就安排。
0,0,WillingToPay,嗯嗯，好的
0,0,WillingToPay,嗯嗯，知道了，我会处理的
0,0,WillingToPay,嗯嗯好的
0,0,WillingToPay,嗯嗯没问题
0,0,WillingToPay,放心
0,0,WillingToPay,放心，绝对没问题
0,0,WillingToPay,放心，我会还的
0,0,WillingToPay,放心，兄弟，一定的。
0,0,WillingToPay,放心，一定处理
0,0,WillingToPay,放心吧
0,0,WillingToPay,放心吧，不会跑了的
0,0,WillingToPay,放心放心，后天一定打过来。
0,0,WillingToPay,放心会还的
0,0,WillingToPay,放心肯定还上
0,0,WillingToPay,搞忘了，等会去
0,0,WillingToPay,搞忘了，马上，没问题
0,0,WillingToPay,搞忘了，马上阿
0,0,WillingToPay,搞忘了，马上嗯
0,0,WillingToPay,搞忘了，马上呢
0,0,WillingToPay,给我到月底，一定处理
0,0,WillingToPay,跟我朋友周转明天处理
0,0,WillingToPay,跟着就还
0,0,WillingToPay,过十年就还。
0,0,WillingToPay,哈哈还
0,0,WillingToPay,还
0,0,WillingToPay,还还还
0,0,WillingToPay,行
0,0,WillingToPay,行，按你说的办
0,0,WillingToPay,行，行，行
0,0,WillingToPay,行，好的，你放心
0,0,WillingToPay,行，好的，你放一万个心
0,0,WillingToPay,行，你放一万个心
0,0,WillingToPay,行，我今天下午就处理
0,0,WillingToPay,行，我今天之内处理
0,0,WillingToPay,行，我明天处理
0,0,WillingToPay,行，我现在上APP等我几分钟
0,0,WillingToPay,行，我这周就处理
0,0,WillingToPay,行，我这周之内处理
0,0,WillingToPay,行，也行吧
0,0,WillingToPay,行啊，我肯定还进去的
0,0,WillingToPay,行吧，想办法
0,0,WillingToPay,行的
0,0,WillingToPay,行的，可以
0,0,WillingToPay,行行
0,0,WillingToPay,行行，马上处理
0,0,WillingToPay,行呢，我朋友说今晚借给我滴
0,0,WillingToPay,行你放心
0,0,WillingToPay,好
0,0,WillingToPay,好，过两天发给你
0,0,WillingToPay,好，现在就去存
0,0,WillingToPay,好吧
0,0,WillingToPay,好的
0,0,WillingToPay,好的 明天肯定处理了
0,0,WillingToPay,好的，
0,0,WillingToPay,好的，放心
0,0,WillingToPay,好的，好的，好的
0,0,WillingToPay,好的，马上给你打过去
0,0,WillingToPay,好的，马上去还
0,0,WillingToPay,好的，没问题
0,0,WillingToPay,好的，没问题，我这次一定注意时间
0,0,WillingToPay,好的，我叫我秘书马上去把钱还了
0,0,WillingToPay,好的，我马上处理
0,0,WillingToPay,好的，我知道了，一会就去处理
0,0,WillingToPay,好的，月底之前还
0,0,WillingToPay,好的，这个月底就还，不要着急
0,0,WillingToPay,好的啊
0,0,WillingToPay,好的哈
0,0,WillingToPay,好的哈哈哈
0,0,WillingToPay,好的好的
0,0,WillingToPay,好的可以了吧
0,0,WillingToPay,好的了
0,0,WillingToPay,好的么问题
0,0,WillingToPay,好的没问题
0,0,WillingToPay,好的呢
0,0,WillingToPay,好的我马上app处理
0,0,WillingToPay,好的谢谢提醒
0,0,WillingToPay,好的矣
0,0,WillingToPay,好好
0,0,WillingToPay,好好好
0,0,WillingToPay,好好好，马上就办
0,0,WillingToPay,好好马上处理
0,0,WillingToPay,好就这样
0,0,WillingToPay,好叻
0,0,WillingToPay,好了，我知道了，我会处理的
0,0,WillingToPay,好嘞，我会尽快的，不让你失望
0,0,WillingToPay,好我会在这之前还款的
0,0,WillingToPay,很快处理
0,0,WillingToPay,后年处理
0,0,WillingToPay,后天处理
0,0,WillingToPay,后天处理逾期欠款
0,0,WillingToPay,后天还
0,0,WillingToPay,后天就还
0,0,WillingToPay,后天就还，你急啥
0,0,WillingToPay,后天就去
0,0,WillingToPay,后天三点之前一定还
0,0,WillingToPay,会处理好的
0,0,WillingToPay,会得，会得。
0,1,WillingToPay,会还的
0,0,WillingToPay,家里帮我换
0,0,WillingToPay,今天处理
0,0,WillingToPay,今天肯定换换
0,0,WillingToPay,今天上午能处理掉吧
0,0,WillingToPay,今天晚上处理
0,0,WillingToPay,今天下班就去
0,0,WillingToPay,今天下午钱到一定还
0,0,WillingToPay,今天之内处理
0,0,WillingToPay,今晚10点之前
0,0,WillingToPay,就对没问题
0,0,WillingToPay,绝对可以
0,0,WillingToPay,绝对没问题
0,0,WillingToPay,绝对没问题；马上处理
0,0,WillingToPay,可以
0,0,WillingToPay,可以，到时候你联系我
0,0,WillingToPay,可以，就这样吧
0,0,WillingToPay,可以，绝对没问题
0,0,WillingToPay,可以，可以
0,0,WillingToPay,可以，可以。
0,0,WillingToPay,可以，肯定办到
0,0,WillingToPay,可以，肯定没问题
0,0,WillingToPay,可以，马上就还
0,0,WillingToPay,可以，没问题
0,0,WillingToPay,可以，你到时候直接查账单
0,0,WillingToPay,可以，我会行办法的
0,0,WillingToPay,可以，我今天下午就处理
0,0,WillingToPay,可以，我今天之内处理
