label,split_text,classifier,new_label,comment,uncertain,name,criterion
0, 可以的,WillingToPay,0,,,zl,
0,·我明天就处理,WillingToPay,0,,,sr,
0,10分钟内发截图给你,WillingToPay,0,,,zl,
0,10号发工资处理,WillingToPay,0,,,sr,
0,10号还,WillingToPay,0,,,zl,
0,15号处理,WillingToPay,0,,,sr,
0,15号发工资，立马还款，,WillingToPay,0,,,sr,
0,15号发工资处理,WillingToPay,0,,,sr,
0,15号发工资还,WillingToPay,0,,,zl,
0,15号还,WillingToPay,0,,,tsl,
0,15号就能还款,WillingToPay,0,,,sr,
0,20号还,WillingToPay,0,,,sr,
0,25号处理,WillingToPay,0,,,sr,
0,25号还,WillingToPay,0,,,tsl,
0,2天内可以,WillingToPay,0,,,zl,
0,2小时之后处理,WillingToPay,0,,,sr,
0,2小时之内处理,WillingToPay,0,,,zl,
0,2月28还,WillingToPay,0,,,zl,
0,30号处理,WillingToPay,0,,,tsl,
0,30号还,WillingToPay,0,,,sr,
0,3天之内一定处理,WillingToPay,0,,,sr,
0,5号还款,WillingToPay,0,,,zl,
0,6个月还清,WillingToPay,0,,,sr,
0,99天就还,WillingToPay,0,,,sr,
0,ok,WillingToPay,0,,,zl,
0,OK,WillingToPay,0,,,zl,
0,"ok,no problem",WillingToPay,0,,,tsl,
0,OK。马上。,WillingToPay,0,,,zl,
0,OKOK,WillingToPay,0,,,tsl,
0,俺待会儿就办,WillingToPay,0,标错了,,sr,
0,俺待会儿就办嘛,WillingToPay,0,,,zl,
0,俺今天办,WillingToPay,0,,,zl,
0,俺马上办,WillingToPay,0,,,sr,
0,俺马上办嘛,WillingToPay,0,,,zl,
0,俺明天办,WillingToPay,0,,,zl,
0,俺晚上办,WillingToPay,0,,,zl,
0,俺下午办,WillingToPay,0,,,sr,
0,俺中午办,WillingToPay,0,,,zl,
2,半年时间全部换不用减免,WillingToPay,0,,,tsl,
0,半小时就还,WillingToPay,0,,,sr,
0,保证处理,WillingToPay,0,,,sr,
0,保证还上,WillingToPay,0,,,zl,
0,保证会处理,WillingToPay,0,,,zl,
0,保证没问题,WillingToPay,0,,,sr,
0,必须的,WillingToPay,0,,,zl,
0,必须的，你放心吧,WillingToPay,0,,,sr,
0,必须行,WillingToPay,0,,,sr,
0,别联系我家人，我马上处理,WillingToPay,0,,,zl,
0,不好意思，我现在就去处理,WillingToPay,0,,,zl,
0,不好意思，昨天本来打算去还的，结果有事耽搁了。马上我就去还,WillingToPay,0,,,tsl,
0,不好意思现在处理,WillingToPay,0,,,sr,
0,不好意思现在就处理,WillingToPay,0,,,sr,
0,不急不急，马上就处理了哈。,WillingToPay,0,,,tsl,
0,不要联系我家里人，我明天就还,WillingToPay,0,,,tsl,
