node_name,label,sentiment,add_sentiment,message
cf_s1_n15_verifyWill_q,1,1,1,你逾期{deltaTime}天，现在已经是最后的通知了，如果再不处理，过了{informDeadline}金额还会增加更多！相信这不是你愿意看到的，所以我劝你务必在{informDeadline}之前处理这笔欠款。
cf_s1_n15_verifyWill_q,1,2,1,你这种行为是属于恶意拖欠，如果还不配合还款，我方会申请司法机关协助，到时候诉讼费、律师费加起来只会让你花更多的钱，不想有过多损失就在{informDeadline}之前处理这笔欠款。
cf_s1_n15_verifyWill_q,1,2,1,这笔贷款在你的身份证名下，你逃避是没有用的，当时你借贷时登记了亲戚朋友和单位电话，如果再拖欠我只能通知他们让他们帮忙还款了。现在{collectionCompany}再次要求你必须在{informDeadline}之前处理欠款。
cf_s1_n15_verifyWill_q,1,2,1,现在我们是通知你还款，不是跟你商量。{informDeadline}之前必须处理这笔欠款，你就回答能还是不能？
cf_s1_n15_verifyWill_q,1,2,1,有什么困难是你自己的问题，再给你一次机会已经给足你面子了，你好自为之，{informDeadline}之前必须处理这笔欠款！
cf_s1_n15_verifyWill_q,1,3,1,如果你没有还钱我就走法律程序，以涉嫌恶意骗贷起诉你，你的征信将会进入系统黑名单， 你孩子以后上学都会受影响，为了家人及孩子考虑还是在{informDeadline}之前把这笔欠款还清吧！
cf_s1_n15_verifyWill_q,1,3,1,你处理不了，我可以帮忙联系你的同事、你的朋友、你的父母帮你处理，你好好想想吧，在{informDeadline}之前是否可以还完这笔欠款？
cf_s1_n15_verifyWill_q,1,3,1,逾期{deltaTime}天你都没还，现在让你处理你还找理由，这是恶意拖欠，再这样只有等法院起诉通知书了，现在要求你必须在{informDeadline}之前还款。
cf_s1_n2_confirmLoan_q,1,1,1,{collectionCompany}所有记录都显示，你找{lendingCompany}借款现在还未还，这个欠了钱不还是不可能的。你这到底是什么原因一直没还呢？
cf_s1_n2_confirmLoan_q,1,1,1,既然找到了你肯定是有依据的，逃避是不能解决问题的，当初是什么原因造成你逾期不还呢？
cf_s1_n2_confirmLoan_q,1,1,1,当时欠款就你本人借的钱，所有信息都是你的，钱也提现到你银行卡里面，到底是什么原因造成你没有及时处理欠款呢？
cf_s1_n2_confirmLoan_q,1,1,1,你说不是你借的，可是根据{lendingCompany}提供的影像资料、身份证信息全部显示是你本人做的贷款，我再问一遍，你为什么逾期不还？
cf_s1_n2_confirmLoan_q,1,1,1,你说欠款不是你借的，为什么身份证银行卡都是你的，{collectionCompany}收到的贷款证明全部显示是你本人贷款的，你这边是遇到了什么困难吗，之前为什么没及时处理呢？
cf_s1_n2_confirmLoan_q,1,2,1,我打电话是想帮助你解决欠款问题，是想给你提供一些帮助，但是你不承认欠款，不配合我工作就会把案件升级。你这样只会让你的征信逾期记录加深，到时候如果立案了，派出所就会上门询问你为什么逾期不还钱。现在还请你配合我的工作，告诉我是什么原因导致你逾期未还？
cf_s1_n2_confirmLoan_q,1,2,1,所有借款记录都证明这个钱是你贷的，如果恶意逃避贷款事实 ，将会受到法律制裁的，你的欠款没有及时处理究竟是什么原因造成的？
cf_s1_n2_confirmLoan_q,1,2,1,你拒不承认欠款属于恶意拖欠，如果还是不配合，我方会申请司法机关协助的，再给你一次机会，你好好想想，为什么逾期不还？
cf_s1_n2_confirmLoan_q,1,3,1,如果案件移交到法务部，你这边涉嫌贷款诈骗，需要终止合同并承担法律责任的，你考虑过后果么，为什么当时不把钱还了呢？
cf_s1_n2_confirmLoan_q,1,3,1,{collectionCompany}持有您贷款的相关证件及影像资料，您这样不承认债务，涉嫌逃债及恶意拖欠，会被打入老赖名单，你以后不能坐地铁、飞机、孩子上学、自己就业等都会受到影响，这个失信影响会非常大，现在再问你一次，之前为什么没还钱？
cf_s1_n2_confirmLoan_q,1,1,1,{collectionCompany}是有记录的，你再好好想想，为什么逾期这么久没有还款？
cf_s1_n2_confirmLoan_q,1,2,1,欠债还钱天经地义，你觉得不承认这事就过去了吗？有时间在这跟我狡辩，不如想想怎么处理欠款。我再问你一次，为什么逾期不还？
cf_s1_n2_confirmLoan_q,1,3,1,再不还款，我们将会通知你的父母和家人来监督你，到那时弄得路人皆知，你觉得这是你想要的结果吗，我劝你还是好好想想，为什么逾期{deltaTime}天，都没有还款？
cf_s1_n2_confirmLoan_q,1,3,1,不承认欠款，一味选择逃避，是会给你的家人或者朋友带来很多不必要的麻烦。一旦公安机关经侦大队上门调查就无法挽回了。我最后再给你一次机会，你好好想想，为什么逾期{deltaTime}天，都没有还款？
cf_s1_n25_cutDebt_q,1,1,1,有时间在这跟我讨价还价，不如想想怎么处理欠款，这还有不少时间可以筹钱，错过{informDeadline}就不会有减免的条件，{informDeadline}请把欠款处理掉。
cf_s1_n25_cutDebt_q,1,1,1,滞纳金减免只有在{informDeadline}之前还款才可以申请的，过了{informDeadline}，即便我想帮你申请，系统也无法提交的。你再好好想想，{informDeadline}可不可以处理？
cf_s1_n25_cutDebt_q,1,2,1,如果一直逾期拖欠，个人征信黑名单上就有你了，这会影响你日后的生活出行，你要是想想办法在{informDeadline}之前处理完还可以减免滞纳金，对你征信不会有影响，你看{informDeadline}能按这种减免方式把欠款还清吗？
cf_s1_n25_cutDebt_q,1,2,1,今天我来给你协商处理你不接受 ，按照合同约定你现在的行为具有恶意骗贷嫌疑，如果你坚持逾期不处理，我们将会后续会进行起诉，你再仔细考虑一下{informDeadline}能不能还钱？
