split_text,classifier,new_label
没听请，再说一次阿,IfKnowDebtor,103
没听请，再说一次嗯,IfKnowDebtor,103
啥名字,IfKnowDebtor,103
后天嘛？,Installment,103
能给我多久的时间,Installment,103
最多能给我多久,Installment,103
多少钱？,ConfirmLoan,103
借了你们好多？,ConfirmLoan,103
可能你记错了吧，再看看啊,ConfirmLoan,103
那2万2个月前我就还了，哪有逾期,ConfirmLoan,103
你确定我欠了那么多嘛,ConfirmLoan,103
你在给算下，是不是拨错了,ConfirmLoan,103
你这个数额不对,ConfirmLoan,103
您刚才说的是哪笔贷款啊，多少钱的,ConfirmLoan,103
我欠你钱么,ConfirmLoan,103
我认识你吗，上来就还钱,ConfirmLoan,103
没听清,WillingToPay,103
信号不好，,WillingToPay,103
这里信号不好,WillingToPay,103
