from,label,original_label,original_text,new_label,
故意岔开话题,2,109,一上午的时间就浪费了,2
Installment,1,,我先换点,1
Installment,1,,我先去想办法,1
Installment,0,,知道了,106
确认数额,2,102,利息高啊？,1
讨价还价,2,100,人家不一定借给我,1
讨价还价,2,100,可以等5天吗,0
Installment,1,,我凑看看,106
故意岔开话题,2,109,不认识,-1
Installment,1,,我正在想办法,1
还款方式,2,108,app崩溃了，我试了，还不起,2
还款方式,2,108,微信可以还款？,2
模糊确认,2,106,我一定处理,0
Installment,1,,其他人的,-1
讨价还价,2,100,等发工资的,1
Installment,1,,尽量吧,106
Installment,1,,我争取还,106
故意岔开话题,2,109,股民朋友吗,2
讨价还价,2,100,我去借看看,106
CutDebt,0,,嗯嗯,106
Installment,1,,那我先处理一点,1
CutDebt,0,,你真是一个好人,106
故意岔开话题,2,109,老板拖欠N个月工资，后天就发了，肯定还！,0
模糊确认,2,106,嗯,2
讨价还价,2,100,父母能不能帮忙,1
Installment,1,,我在山里没信号,104
Installment,1,,还能在少点吗,100
模糊确认,2,106,有钱就还,2
模糊确认,2,106,我自己处理,2
CutDebt,0,,确认还款方式,108
请求更新金额,2,110,得不得影响个人征信,109
Installment,1,,我筹到钱马上联系你,1
Installment,1,,可以下个星期么,0
讨价还价,2,100,办理不了转账,108
讨价还价,2,100,再看看,106
Installment,1,,你说的有点多啊,1
Installment,1,,我给老板打个电话,1
Installment,1,,想办法,1
Installment,1,,现在没钱先处理部分,1
Installment,1,,问朋友借把钱还了,106
Installment,0,,后天,0
讨价还价,2,100,有点困难,1
Installment,1,,不能保证处理掉,1
Installment,1,,朋友都接了,109
Installment,1,,等有空还,1
请求等下打来,2,104,等回去,2
Installment,1,,我在上班,104
讨价还价,2,100,我在凑钱,1
模糊确认,2,106,我考虑下,106
Installment,1,,过几天还,1
故意岔开话题,2,109,如果我不还呢？,1
讨价还价,2,100,问问老婆同不同意,106
Installment,1,,我现在缺钱,1
故意岔开话题,2,109,点都不乖,2
Installment,1,,我再看看,1
模糊确认,2,106,会得，会得。,0
讨价还价,2,100,父母正在周转。,1
讨价还价,2,100,我尽量吧,106
讨价还价,2,100,钱凑好了联系你,1
Installment,1,,先换一部分,1
Installment,1,,我在忙，没时间,104
Installment,1,,你等我问问,1
CutDebt,0,,我知道了,106
Installment,1,,还有其他平台要还,1
请求等下打来,2,104,我在上班的路上,2
CutDebt,0,,下高速去存,0
故意岔开话题,2,109,输了300多万,2
讨价还价,2,100,等我发工资,1
Installment,1,,没了,1
Installment,0,,"哦，好吧,听你的",0
讨价还价,2,100,有钱了自然会还。,1
Installment,1,,我发工资了,106
请求等下打来,2,104,等下个再联系我,2
CutDebt,0,,没啥不可以的了。,0
Installment,1,,老人住院了,1
Installment,1,,银行没开门,1
Installment,1,,我看能不能预支工资,1
讨价还价,2,100,身上没这么钱,1
Installment,1,,我晚上处理跟你说,104
CutDebt,0,,要等两天,0
Installment,0,,太好了，这下好多了。,106
Installment,1,,5号可能发工资,1
模糊确认,2,106,再筹钱了,2
模糊确认,2,106,考虑一下,2
Installment,1,,我尽量,106
Installment,1,,要见面,1
讨价还价,2,100,能不能先还一半，后面的分期,-1
Installment,1,,在给我拖一下,1
Installment,1,,一上午的时间就浪费了,109
讨价还价,2,100,我能少还点吗,2
CutDebt,0,,想想办法,106
Installment,1,,车子卖了还,106
讨价还价,2,100,钱是借给别人用的，等他钱还我了再还。,1
Installment,1,,贷款今天还没下来,1
Installment,1,,我可不可以分期还啊,-1
Installment,1,,出去了,109
Installment,1,,这个时间紧啊,1
模糊确认,2,106,恩,2
模糊确认,2,106,10号打工资,2
请求等下打来,2,104,你等等。,2
故意岔开话题,2,109,借钱,2
确认数额,2,102,分期是免息的么？,2
CutDebt,0,,你帮申请，申请下来立马还,110
Installment,1,,借到就处理,1
Installment,1,,等我有钱的,1
讨价还价,2,100,处理好了联系你,106
Installment,0,,下个月一起,0
模糊确认,2,106,这都是可行的,0
请求重复,2,103,为什么不说话,2
Installment,1,,等我下班的,104
CutDebt,0,,以到银行卡,0
Installment,0,,知道了,106
Installment,0,,可以，我凑,0
故意岔开话题,2,109,不认识,-1
Installment,1,,我尽力吧,106
Installment,1,,再逼我，老子就还了,109
讨价还价,2,100,老板还没有发,1
模糊确认,2,106,好的，放心,0
Installment,1,,每月还一千,0
故意岔开话题,2,109,地震得好厉害，好厉害，好晃动！,2
还款方式,2,108,我客户端登陆不了,2
讨价还价,2,100,现在钱还没到,1
Installment,1,,我身上只有那么点,1
Installment,1,,小孩这两天开学学费,1
故意岔开话题,2,109,嫩瞎扯淡,2
故意岔开话题,2,109,不认识,-1
Installment,0,,行，我知道了，你等我联系你,0
故意岔开话题,2,109,时间,103
讨价还价,2,100,我想办法发筹钱,106
模糊确认,2,106,在要钱,2
Installment,1,,过几天,1
Installment,1,,钱到位了我就还了,1
模糊确认,2,106,ok,0
Installment,1,,难,1
Installment,1,,我现在借钱,1
确认数额,2,102,利息能不能也分期,100
Installment,0,,好的，知道了,0
模糊确认,2,106,钱已经要来了,2
故意岔开话题,2,109,我没空,1
CutDebt,0,,非常感谢你,106
讨价还价,2,100,我在等发工资,1
模糊确认,2,106,好的，我知道了,0
讨价还价,2,100,可能不行,1
Installment,1,,在国外,1
Installment,1,,看看能不能拿到钱吧,1
Installment,1,,无法处理,1
故意岔开话题,2,109,我不还你们打算怎么办,1
确认数额,2,102,真假的,2
Installment,1,,你等着看好了,1
