label,split_text,classifier,new_label,comment,uncertain
0, 这样的话没问题,CutDebt,0,,
0,10分钟内发截图给你,CutDebt,0,,
0,12点之前处理进去就行,CutDebt,0,,
0,15分钟到账,CutDebt,0,,
0,15号就能还款,CutDebt,0,,
0,25号处理,CutDebt,0,,
0,2天内可以,CutDebt,0,,
0,2小时之内处理,CutDebt,0,,
0,2月28还,CutDebt,0,,
0,3天之内一定处理,CutDebt,0,,
0,5分钟就能处理好,CutDebt,0,,
0,99天就还,CutDebt,0,,
0,OK,CutDebt,0,,
0,ok,CutDebt,0,,
0,oK,CutDebt,0,,
0,OKOK,CutDebt,0,,
0,yes,CutDebt,0,,
0,阿拉小得了，肯定还上,CutDebt,0,,
0,阿拉小得了，没问题,CutDebt,0,,
0,阿拉小得了，明天搞定,CutDebt,0,,
0,阿拉小得了，明天还,CutDebt,0,,
0,哎。明天处理,CutDebt,0,,
0,半小时就还,CutDebt,0,,
0,半夜还,CutDebt,0,！？,
0,棒棒哒，明天还,CutDebt,0,,
0,保证处理,CutDebt,0,,
0,保证还款,CutDebt,0,,
0,保证还上,CutDebt,0,,
0,保证会处理,CutDebt,0,,
0,保证没问题,CutDebt,0,,
0,必须的,CutDebt,0,,
0,必须的，你放心吧,CutDebt,0,,
0,必须行,CutDebt,0,,
0,不成问题了，要得要得。,CutDebt,0,,
0,不等明天了，现在就可以了。,CutDebt,0,,
0,不好意思现在处理,CutDebt,0,,
0,不好意思现在就处理,CutDebt,0,,
0,不用到那天我就联系你还款,CutDebt,0,,
0,大大后天还,CutDebt,0,,
0,大后天处理,CutDebt,0,,
0,大后天还,CutDebt,0,,
0,待会处理,CutDebt,0,,
0,待会处理，,CutDebt,0,,
0,待会发截图给你,CutDebt,0,,
0,待会就去,CutDebt,0,！temp2,
0,待会就去处理,CutDebt,0,,
0,当然可以,CutDebt,0,,
0,到期就还,CutDebt,0,,
0,到时候借也还上,CutDebt,0,,
0,到时候联系一定还,CutDebt,0,,
0,到时候马上还,CutDebt,0,,
0,到时候我肯定还进去,CutDebt,0,,
0,到时候我联系你扣款,CutDebt,108,！108,
0,到时候我自己还进去,CutDebt,0,,
0,到时候一定处理,CutDebt,0,,
0,得行。,CutDebt,0,,
0,等等，我下班去存,CutDebt,0,,
0,等会就好,CutDebt,0,,
0,等会就去处理,CutDebt,0,,
0,等会就让家人帮我还,CutDebt,0,,
0,等会让朋友去还,CutDebt,0,,
0,等会我就处理,CutDebt,0,,
0,等我下班就去还,CutDebt,0,,
0,等下就还,CutDebt,0,,
0,等下我就还进去,CutDebt,0,,
0,等一下处理,CutDebt,0,,
0,等一下就还,CutDebt,0,,
0,都行,CutDebt,0,,
0,都可以,CutDebt,0,,
0,对于这么无理的要求，我也只能勉强接受了,CutDebt,0,,
