text,category,label,IDClassifier,IfKnowDebtor,ConfirmLoan,WillingToPay,CutDebt,Installment
整不来关键是,还款方式,108,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
加我支付宝,还款方式,108,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
支付宝转你,还款方式,108,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
钱怎么还？用什么东西还？可不可以支持手机支付？,还款方式,108,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
APP登录不上,还款方式,108,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
不知道怎么还,还款方式,108,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
是直接转账吗,还款方式,108,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你们没说怎么还款啊,还款方式,108,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
支付宝转账吗,还款方式,108,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你们上门来收钱么？,还款方式,108,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
哪里可以看到怎么还钱给你们呢？,还款方式,108,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
有没APP可以直接还款的,还款方式,108,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
微信扫一扫,还款方式,108,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
我哪们还哦,还款方式,108,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
银行转账嘛,还款方式,108,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
可不可以直接用手机支付？,还款方式,108,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
能用京东白条嘛,还款方式,108,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
可以刷其他的信用卡吗？,还款方式,108,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
可以微信吗,还款方式,108,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你之前没有给我说过怎么还款,还款方式,108,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你们有APP么？,还款方式,108,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你们给我减免了我该怎么还啊？,还款方式,108,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
银行卡转账吗？,还款方式,108,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
支付宝给我一个撒,还款方式,108,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
咋个整嘛,还款方式,108,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
直接转账要不要得,还款方式,108,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
app老是断网,还款方式,108,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
app崩溃了，怎么还,还款方式,108,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
可不可以直接在 App 上还款？,还款方式,108,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
直接转账要得不嘛,还款方式,108,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
还款路径？,还款方式,108,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
可以翼支付吗,还款方式,108,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
微信可以还款？,还款方式,108,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
能不能微信转账,还款方式,108,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
给个账号,还款方式,108,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你们有还钱流程么？,还款方式,108,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
不知道该怎么还哦,还款方式,108,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
支付宝转账到什么地方啊,还款方式,108,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
可不可以还现金？,还款方式,108,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
麻烦问哈有哪些方式还,还款方式,108,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
app登录不上啊,还款方式,108,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
在哪还,还款方式,108,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
还是还之前的银行账户嘛,还款方式,108,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
怎么还？,还款方式,108,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你没有说怎么还呢,还款方式,108,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
忘记怎么还款了,还款方式,108,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你给我说一遍你们的还款方式,还款方式,108,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
微信转账吗,还款方式,108,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
