split_text,classifier,new_label
等我想想，之后给你回复,CutDebt,104
在办理离婚手续,CutDebt,104
在忙,CutDebt,104
本人不在,IDClassifier,104
不是，他手机坏了。在我店里维修,IDClassifier,104
不是，他手机在充电,IDClassifier,104
不是，他有事，忙完再说,IDClassifier,104
不是，他在开车,IDClassifier,104
不是的，他在忙什么事,IDClassifier,104
不在，他再开车,IDClassifier,104
出去了,IDClassifier,104
此人不在,IDClassifier,104
对，是我，我现在有事，待会给你打过来,IDClassifier,104
对，我高速上,IDClassifier,104
恩晚点联系,IDClassifier,104
嗯嗯还在路上回家再联系你,IDClassifier,104
嗯嗯还在上班晚点联系你,IDClassifier,104
嗯嗯我比较忙待会联系,IDClassifier,104
嗯嗯我现在不方便待会打给你,IDClassifier,104
嗯嗯之后再联系你现在有事,IDClassifier,104
嗯我还有事待会回你,IDClassifier,104
嗯我是，我在上班，下班了再说。,IDClassifier,104
嗯我现在比较忙,IDClassifier,104
嗯我在开车待会再说,IDClassifier,104
机主不在,IDClassifier,104
开车,IDClassifier,104
没时间听你说,IDClassifier,104
你好他不在,IDClassifier,104
你好他人手机在充电,IDClassifier,104
是，我在忙，等会联系,IDClassifier,104
是啊，我这会有点忙，晚上6点以后再联系，可以吧？,IDClassifier,104
是的，不方便，下班联系我,IDClassifier,104
是的，你有什么事情等中午再说,IDClassifier,104
是的，我现在有事等会再说,IDClassifier,104
是的，我这边在上班忙挂,IDClassifier,104
是的，现在信号不好，等好了再找我,IDClassifier,104
是的，有什么事情等会说,IDClassifier,104
是商店，手机在这里充电,IDClassifier,104
是我，等下班的,IDClassifier,104
是我，我在忙，现在不方便,IDClassifier,104
是我，在开会，等会说,IDClassifier,104
手机丢在这充电,IDClassifier,104
他本人不在我帮你问一下吧,IDClassifier,104
他不在,IDClassifier,104
他不在出去了,IDClassifier,104
他不在我是他同事,IDClassifier,104
他出去了您稍等一下,IDClassifier,104
他出去了手机没带,IDClassifier,104
他出去了有什么事和我说,IDClassifier,104
他出去买东西了要一个小时才回来,IDClassifier,104
他出去耍了,IDClassifier,104
他出去有点事我代接,IDClassifier,104
他刚刚出去,IDClassifier,104
他还没回来,IDClassifier,104
他没带手机,IDClassifier,104
他去厕所了,IDClassifier,104
他去吃饭了,IDClassifier,104
他去看球了,IDClassifier,104
他手机放我这了他现在出去了,IDClassifier,104
他手机在我这充电,IDClassifier,104
他手机在这里充电,IDClassifier,104
他现在不在，等会再打过了,IDClassifier,104
他现在不在，稍后再打过来,IDClassifier,104
他现在在医院,IDClassifier,104
他在边上,IDClassifier,104
他在吃饭,IDClassifier,104
他在开车,IDClassifier,104
他在开车，什么事？,IDClassifier,104
他在开会,IDClassifier,104
他在开会。,IDClassifier,104
他在看电视,IDClassifier,104
他在忙,IDClassifier,104
他在跑步,IDClassifier,104
他在上厕所,IDClassifier,104
他在睡觉,IDClassifier,104
他在我边上,IDClassifier,104
他在洗澡,IDClassifier,104
他在做饭,IDClassifier,104
他正在卡车,IDClassifier,104
他正在开车,IDClassifier,104
他正在开车嗯,IDClassifier,104
他正在开车了,IDClassifier,104
他正在开车没意思,IDClassifier,104
他正在洗漱,IDClassifier,104
喂是啊听不清啊挂了,IDClassifier,104
我不是，他正忙，一会给你回过来,IDClassifier,104
我叫他给你回电话,IDClassifier,104
我去叫他来,IDClassifier,104
我是，我在上班，等我下班再说,IDClassifier,104
我现在忙，一会儿再说,IDClassifier,104
我现在忙，一会儿再说，没意思,IDClassifier,104
我现在忙，一会儿再说嗯,IDClassifier,104
我现在忙，一会儿再说哈哈哈,IDClassifier,104
我现在忙，一会儿再说哇,IDClassifier,104
