label,split_text,classifier,new_label,comment,uncertain,name,criterion
0,2个月利息加滞纳金都有3千了吗？,ConfirmLoan,0,,,sr,
1,2万，我是差那2万的人，我觉得你在侮辱我,ConfirmLoan,0,,,sr,
1,2万多吗，我怎么记得只有5000，你再好好看看，是不是弄错了,ConfirmLoan,0,,,sr,
0,app崩溃了，我试了，还不起,ConfirmLoan,0,,,sr,
0,阿拉小得了,ConfirmLoan,0,,,sr,
0,啊！这么多啊！,ConfirmLoan,0,,,sr,
0,啊，已经有2万3了么,ConfirmLoan,0,,,sr,
0,哎，别打了，我没钱还你们,ConfirmLoan,0,,,sr,
0,哎呀，最近太忙了，搞忘了，不好意思,ConfirmLoan,0,,,sr,
0,俺爹把钱借去了,ConfirmLoan,0,,,sr,
0,俺哥把钱借去了,ConfirmLoan,0,,,sr,
0,俺哥们儿把钱借去了,ConfirmLoan,0,,,sr,
0,俺闺蜜把钱借去了,ConfirmLoan,0,,,sr,
0,俺没钱,ConfirmLoan,0,,,sr,
0,俺妹把钱借去了,ConfirmLoan,0,,,sr,
0,俺婶把钱借去了,ConfirmLoan,0,,,sr,
0,俺叔把钱借去了,ConfirmLoan,0,,,sr,
0,把钱拿去交学费了,ConfirmLoan,0,,,sr,
0,把人撞了都没钱赔人家呢，哪有多余的钱还你们啊,ConfirmLoan,0,,,sr,
0,绑定的卡丢了我会重新办张卡的,ConfirmLoan,0,,,sr,
0,包工头带着他的小姨子跑了,ConfirmLoan,0,,,sr,
0,包养了个小四,ConfirmLoan,0,,,sr,
0,抱一抱，就当做从没借款2万,ConfirmLoan,0,,,sr,
0,被炒鱿鱼了,ConfirmLoan,0,,,sr,
0,被打了,ConfirmLoan,0,,,sr,
0,被盗了,ConfirmLoan,0,,,sr,
0,被老板炒鱿鱼了,ConfirmLoan,0,,,sr,
0,被老板开了,ConfirmLoan,0,,,sr,
0,被摸了,ConfirmLoan,0,,,sr,
0,被抢了,ConfirmLoan,0,,,sr,
0,被偷了,ConfirmLoan,0,,,sr,
0,被下套了,ConfirmLoan,0,,,sr,
1,别来烦我！！,ConfirmLoan,0,,,sr,
0,别人还没还我钱了,ConfirmLoan,0,,,sr,
0,别人欠我的钱一直要不回来，我手里也没有钱啊,ConfirmLoan,0,,,sr,
0,别人也欠我的钱，我手里现在没有一分钱了,ConfirmLoan,0,,,sr,
0,病了几个月，老板整准备开了我,ConfirmLoan,0,,,sr,
0,不差钱,ConfirmLoan,0,,,sr,
0,不还,ConfirmLoan,0,,,sr,
0,不还没事吧,ConfirmLoan,0,,,sr,
0,不好意思，我换电话了，然后把这个事情搞忘记了,ConfirmLoan,0,,,sr,
0,不清楚,ConfirmLoan,0,尽量为0，除非明显说不欠款,,sr,
1,不清楚,ConfirmLoan,0,,,sr,
0,不是恶意拖欠，有钱就还了,ConfirmLoan,0,,,sr,
0,不想还,ConfirmLoan,0,,,sr,
0,不想还，可以吧？,ConfirmLoan,0,,,sr,
0,不想还了,ConfirmLoan,0,,,sr,
0,不晓得好久才还得起哦,ConfirmLoan,0,,,sr,
0,不要急,ConfirmLoan,0,,,sr,
1,不知道,ConfirmLoan,0,,,sr,
0,不知道，你哪里,ConfirmLoan,0,,,sr,
0,不知道啊,ConfirmLoan,0,,,sr,
0,炒股爆仓了，欠了一屁股债都还不起,ConfirmLoan,0,,,sr,
0,车子卖了还,ConfirmLoan,0,,,sr,
0,吃不起饭了,ConfirmLoan,0,,,sr,
0,出车祸了,ConfirmLoan,0,,,sr,
0,出车祸了，医疗费几十万我还愁着呢，你那点钱算什么,ConfirmLoan,0,,,sr,
0,出国留学花掉了,ConfirmLoan,0,,,sr,
0,出国旅游了，刚回来，还没来得及处理这个事情,ConfirmLoan,0,,,sr,
0,出事了,ConfirmLoan,0,,,sr,
0,从楼梯上摔下来了，在医院呢,ConfirmLoan,0,,,sr,
0,打麻将输了，没钱还,ConfirmLoan,0,,,sr,
0,打死我都不还,ConfirmLoan,0,,,sr,
0,打死我嘛,ConfirmLoan,0,,,sr,
0,单位效益不好,ConfirmLoan,0,,,sr,
0,当初借的时候没说有滞纳金的嘛,ConfirmLoan,0,,,sr,
0,当时借的时候，都不是这样说的,ConfirmLoan,0,,,sr,
0,得癌症了都快死了你还管我要钱,ConfirmLoan,0,,,sr,
0,等他还了我就还,ConfirmLoan,0,,,sr,
0,等我把货款收回来才有钱还,ConfirmLoan,0,,,sr,
0,等我当老板了就能还上了，我一个打工妹哪有那么多钱啊，再说你们这个滞纳金怎么涨了这么多，之前我也没收到通知啊，你们这样不违法吗？,ConfirmLoan,0,,,sr,
0,等我跟老板商量能预支工资不,ConfirmLoan,0,,,sr,
0,等我下班就去还,ConfirmLoan,0,,,sr,
0,等我赚钱了肯定就能还上了，但是现在没有这么多,ConfirmLoan,0,,,sr,
0,等有空还,ConfirmLoan,0,,,sr,
0,地震了，房子都震没了，都没地方住了,ConfirmLoan,0,,,sr,
0,都没钱打车上班了，怎么还？,ConfirmLoan,0,,,sr,
0,都尿血了,ConfirmLoan,0,,,sr,
0,都要吃土了，哪里有钱还,ConfirmLoan,0,,,sr,
0,读书了,ConfirmLoan,0,,,sr,
0,赌球赌输了，我都准备上天台了,ConfirmLoan,0,,,sr,
0,赌球输了,ConfirmLoan,0,,,sr,
0,短时间还不上,ConfirmLoan,0,,,sr,
0,对不起，我不方便这么做,ConfirmLoan,0,,,sr,
0,对不起，我不方便这么做啊,ConfirmLoan,0,,,sr,
0,对不起，我不方便这么做按,ConfirmLoan,0,,,sr,
0,对不起，我不方便这么做呗,ConfirmLoan,0,,,sr,
0,对不起，我不方便这么做呀,ConfirmLoan,0,,,sr,
0,嗯，最近有点特殊情况,ConfirmLoan,0,,,sr,
0,烦死了，天天催！催命啊,ConfirmLoan,0,,,sr,
0,饭都吃不起，哪还有钱还哦,ConfirmLoan,0,,,sr,
0,饭都吃不起了，还啥子钱,ConfirmLoan,0,,,sr,
0,饭碗都丢了,ConfirmLoan,0,,,sr,
0,房贷、车贷都在催债，早就没钱了,ConfirmLoan,0,,,sr,
0,房子抵押给银行了,ConfirmLoan,0,,,sr,
0,父亲住院没钱,ConfirmLoan,0,,,sr,
0,感觉有点坑，这么点时间就这么多利息,ConfirmLoan,0,,,sr,
0,刚刚大病一场，钱都交个医院了。,ConfirmLoan,0,,,sr,
0,刚上班，还没发工资。,ConfirmLoan,0,,,sr,
0,刚失业,ConfirmLoan,0,,,sr,
0,刚下岗,ConfirmLoan,0,,,sr,
