text,category,label,IDClassifier,IfKnowDebtor,ConfirmLoan,WillingToPay,CutDebt,Installment
你这能减免，我就还,请求更新金额,110,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你申请下,请求更新金额,110,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你减免了我看看,请求更新金额,110,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
减了以后还吧,请求更新金额,110,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
那之前我还的利息可以抵扣本金么,请求更新金额,110,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你先申请着,请求更新金额,110,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
把APP金额减了我等下自己还,请求更新金额,110,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
能不能把APP上金额调整到还款金额！,请求更新金额,110,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
还了以后不会在要钱了吧？,请求更新金额,110,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你把信息发我手机上,请求更新金额,110,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
到时候又找我怎么办,请求更新金额,110,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你把app减免金额删掉我就还,请求更新金额,110,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你先申请,请求更新金额,110,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你申请吧,请求更新金额,110,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
减免以后会处理,请求更新金额,110,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你可以把减免证明发给我吗？,请求更新金额,110,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
那你现在就把他处理掉，两个小时之内。,请求更新金额,110,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
减了就处理,请求更新金额,110,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你好了就联系我,请求更新金额,110,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
只要减免下来我肯定处理,请求更新金额,110,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
那你帮我申请延期吧,请求更新金额,110,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
我还了之后你得帮我延期啊,请求更新金额,110,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你先申请下来再说,请求更新金额,110,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
出示延期材料,请求更新金额,110,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
申请一下,请求更新金额,110,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你帮我处理,请求更新金额,110,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
那你申请吧,请求更新金额,110,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
现在等减免下来,请求更新金额,110,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
看看能减免多少吧,请求更新金额,110,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
减免到多少,请求更新金额,110,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
减免了我就去还款,请求更新金额,110,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
那你减免了我就处理,请求更新金额,110,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
可以减了我就处理,请求更新金额,110,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
好的你申请吧,请求更新金额,110,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
减免下来处理,请求更新金额,110,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你帮申请，申请下来立马还,请求更新金额,110,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
先分期,请求更新金额,110,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
那我等你消息,请求更新金额,110,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
我等会看有多少,请求更新金额,110,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
你给我申请吧，我尽量吧,请求更新金额,110,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
