text,category,label,CutDebt,IDClassifier,IfKnowDebtor,Installment,ConfirmLoan,WillingToPay
你这能减免，我就还,请求更新金额,110,0,1,1,0,1,1
你申请下,请求更新金额,110,0,1,1,0,1,1
你减免了我看看,请求更新金额,110,0,1,1,0,1,1
减了以后还吧,请求更新金额,110,0,1,1,0,1,1
你先申请着,请求更新金额,110,0,1,1,0,1,1
把APP金额减了我等下自己还,请求更新金额,110,0,1,1,0,1,1
能不能把APP上金额调整到还款金额！,请求更新金额,110,0,1,1,0,1,1
你把app减免金额删掉我就还,请求更新金额,110,0,1,1,0,1,1
你先申请,请求更新金额,110,0,1,1,0,1,1
你申请吧,请求更新金额,110,0,1,1,0,1,1
减免以后会处理,请求更新金额,110,0,1,1,0,1,1
你可以把减免证明发给我吗？,请求更新金额,110,0,1,1,0,1,1
那你现在就把他处理掉，两个小时之内。,请求更新金额,110,0,1,1,0,1,1
减了就处理,请求更新金额,110,0,1,1,0,1,1
你好了就联系我,请求更新金额,110,0,1,1,0,1,1
只要减免下来我肯定处理,请求更新金额,110,0,1,1,0,1,1
你先申请下来再说,请求更新金额,110,0,1,1,0,1,1
申请一下,请求更新金额,110,0,1,1,0,1,1
你帮我处理,请求更新金额,110,0,1,1,0,1,1
那你申请吧,请求更新金额,110,0,1,1,0,1,1
现在等减免下来,请求更新金额,110,0,1,1,0,1,1
看看能减免多少吧,请求更新金额,110,0,1,1,0,1,1
减免到多少,请求更新金额,110,0,1,1,0,1,1
减免了我就去还款,请求更新金额,110,0,1,1,0,1,1
那你减免了我就处理,请求更新金额,110,0,1,1,0,1,1
可以减了我就处理,请求更新金额,110,0,1,1,0,1,1
好的你申请吧,请求更新金额,110,0,1,1,0,1,1
减免下来处理,请求更新金额,110,0,1,1,0,1,1
你帮申请，申请下来立马还,请求更新金额,110,0,1,1,0,1,1
先分期,请求更新金额,110,0,1,1,0,1,1
那我等你消息,请求更新金额,110,0,1,1,0,1,1
我等会看有多少,请求更新金额,110,0,1,1,0,1,1
你给我申请吧，我尽量吧,请求更新金额,110,0,1,1,0,1,1
